population,n_voters,n_candidates,paradigm,trial,seed,winner,total_welfare,supporter_welfare,loser_welfare,gap,lambda_winner,lambda_effective,loser_share,alloc_core_services,alloc_coalition_club,alloc_outgroup_repair,alloc_prestige_project,alloc_buffer_reserve
two_cluster,400,8,party,0,0,7,0.22801437407066083,0.2729035926474628,0.18267400756846383,0.09022958507899895,0.30322453648177466,0.30322453648177466,0.4975,0.3543879896946559,0.11062482881278532,0.3277851849724283,0.14495666580378513,0.062245330716345235
two_cluster,400,8,individual,0,0,1,0.23391102174827771,0.2951487125851747,0.18579569323357287,0.10935301935160185,0.3007345938541699,0.3007345938541699,0.56,0.2864480571915549,0.41321174800569804,0.1272105431523864,0.10088227474549939,0.07224737690486135
two_cluster,400,8,score,0,0,7,0.22815402755921205,0.28260614901082737,0.21517318126888896,0.06743296774193841,0.30322453648177466,0.30322453648177466,0.8075,0.3764494438785082,0.11019545784394308,0.30944130149748367,0.14359657262404468,0.060317224156020297
two_cluster,400,8,latent_match,0,0,1,0.23391102174827771,0.2951487125851747,0.18579569323357287,0.10935301935160185,0.3007345938541699,0.3007345938541699,0.56,0.2864480571915549,0.41321174800569804,0.1272105431523864,0.10088227474549939,0.07224737690486135
two_cluster,400,8,constrained_individual,0,0,1,0.23394613484007926,0.29220375084531675,0.188172293693107,0.10403145715220974,0.3007345938541699,0.25,0.56,0.2863220698202505,0.406417173100717,0.13421453334315794,0.10092766724577024,0.07211855649010436
two_cluster,400,8,party,1,0,6,0.23159190781976632,0.3260133113307186,0.13717050430881408,0.1888428070219045,0.7600433265939112,0.7600433265939112,0.5,0.22537081593852032,0.0690901126437338,0.5164633851782552,0.07043005956082865,0.11864562667866213
two_cluster,400,8,individual,1,0,6,0.23136373898308332,0.32949822591328165,0.19733056674803137,0.13216765916525028,0.7600433265939112,0.7600433265939112,0.7425,0.22471208950522586,0.06537255991397521,0.518109920593086,0.06210073659993615,0.12970469338777665
two_cluster,400,8,score,1,0,4,0.21594938741494032,0.2568062681895168,0.21263666735213682,0.044169600837379974,0.4067892597043054,0.4067892597043054,0.925,0.22472643600618494,0.36886271661577286,0.12227739598692264,0.2129909707526038,0.07114248063851582
two_cluster,400,8,latent_match,1,0,4,0.21594938741494032,0.2568062681895168,0.21263666735213682,0.044169600837379974,0.4067892597043054,0.4067892597043054,0.925,0.22472643600618494,0.36886271661577286,0.12227739598692264,0.2129909707526038,0.07114248063851582
two_cluster,400,8,constrained_individual,1,0,6,0.23134006492199677,0.29745889617085425,0.20840996519596203,0.08904893097489222,0.7600433265939112,0.25,0.7425,0.22225967380854367,0.14041401050232555,0.4452163011595538,0.06704346747971728,0.1250665470498597
two_cluster,400,8,party,2,0,1,0.23178926889405105,0.2931085058511191,0.16985375819872103,0.12325474765239805,0.22263171544175084,0.22263171544175084,0.4975,0.23897147348143158,0.14380621766166374,0.4297434076420923,0.106917573486771,0.08056132772804127
two_cluster,400,8,individual,2,0,4,0.23337003284215402,0.3040362133398765,0.19362030631218513,0.11041590702769138,0.3966612235350553,0.3966612235350553,0.64,0.2784443265671175,0.44542425103160094,0.10690545550087587,0.06288058838321059,0.10634537851719497
two_cluster,400,8,score,2,0,3,0.23646573109075927,0.26221024324396286,0.23368446800495613,0.028525775239006734,0.20015503318376254,0.20015503318376254,0.9025,0.25795212936082274,0.19286081843874614,0.3936128983851488,0.07308192131223969,0.08249223250304263
two_cluster,400,8,latent_match,2,0,3,0.23646573109075927,0.26221024324396286,0.23368446800495613,0.028525775239006734,0.20015503318376254,0.20015503318376254,0.9025,0.25795212936082274,0.19286081843874614,0.3936128983851488,0.07308192131223969,0.08249223250304263
two_cluster,400,8,constrained_individual,2,0,4,0.2337136177036374,0.29563410695336256,0.19888334250066703,0.09675076445269554,0.3966612235350553,0.25,0.64,0.2807658879200184,0.42584833703090624,0.1263175904984517,0.06253356086919122,0.10453462368143249
