run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C2__baldwinian__s1,C2__baldwinian,C2,C2,baldwinian,1,0.5,1.0,6.0,0,3.0,0.35321456235476373,1800,0,50,613,593,563,0,0
C2__baldwinian__s2,C2__baldwinian,C2,C2,baldwinian,2,0.5,1.0,6.0,0,3.0,0.3648760330578512,1800,0,50,633,613,583,0,0
C2__baldwinian__s3,C2__baldwinian,C2,C2,baldwinian,3,0.5,1.0,6.0,0,3.0,0.36730769230769234,1800,0,50,634,614,584,0,0
C2__baldwinian__s4,C2__baldwinian,C2,C2,baldwinian,4,0.5,1.0,6.0,0,3.0,0.3672406888265919,1800,0,50,597,577,547,0,0
C2__baldwinian__s5,C2__baldwinian,C2,C2,baldwinian,5,0.5,1.0,6.0,0,3.0,0.36238170347003157,1800,0,50,601,581,551,0,0
C2__baldwinian__s6,C2__baldwinian,C2,C2,baldwinian,6,0.5,1.0,6.0,0,3.0,0.37705627705627703,1800,0,50,568,548,518,0,0
C2__baldwinian__s7,C2__baldwinian,C2,C2,baldwinian,7,0.5,1.0,6.0,0,3.0,0.3527397260273973,1800,0,50,638,618,588,0,0
C2__baldwinian__s8,C2__baldwinian,C2,C2,baldwinian,8,0.5,1.0,6.0,0,3.0,0.3666292555181444,1800,0,50,658,638,608,0,0
C2__baldwinian__s9,C2__baldwinian,C2,C2,baldwinian,9,0.5,1.0,6.0,0,3.0,0.3470749901845308,1800,0,50,654,634,604,0,0
C2__baldwinian__s10,C2__baldwinian,C2,C2,baldwinian,10,0.5,1.0,6.0,0,3.0,0.36761133603238866,1800,0,50,571,551,521,0,0
C2__baldwinian__s11,C2__baldwinian,C2,C2,baldwinian,11,0.5,1.0,6.0,0,3.0,0.37294015611448394,1800,0,50,629,609,579,0,0
C2__baldwinian__s12,C2__baldwinian,C2,C2,baldwinian,12,0.5,1.0,6.0,0,3.0,0.3330529857022708,1800,0,50,575,555,525,0,0
C2__baldwinian__s13,C2__baldwinian,C2,C2,baldwinian,13,0.5,1.0,6.0,0,3.0,0.3517877739331027,1800,0,50,661,641,611,0,0
C2__baldwinian__s14,C2__baldwinian,C2,C2,baldwinian,14,0.5,1.0,6.0,0,3.0,0.3677895708352561,1800,0,50,556,536,506,0,0
C2__baldwinian__s15,C2__baldwinian,C2,C2,baldwinian,15,0.5,1.0,6.0,0,3.0,0.35397553516819574,1800,0,50,612,592,562,0,0
C2__baldwinian__s16,C2__baldwinian,C2,C2,baldwinian,16,0.5,1.0,6.0,0,3.0,0.3241865934927479,1800,0,50,605,585,555,0,0
C2__baldwinian__s17,C2__baldwinian,C2,C2,baldwinian,17,0.5,1.0,6.0,0,3.0,0.34767788666382615,1800,0,50,573,553,523,0,0
C2__baldwinian__s18,C2__baldwinian,C2,C2,baldwinian,18,0.5,1.0,6.0,0,3.0,0.3550446998722861,1800,0,50,576,556,526,0,0
C2__baldwinian__s19,C2__baldwinian,C2,C2,baldwinian,19,0.5,1.0,6.0,0,3.0,0.3781443298969072,1800,0,50,627,607,577,0,0
C2__baldwinian__s20,C2__baldwinian,C2,C2,baldwinian,20,0.5,1.0,6.0,0,3.0,0.36328460877042135,1800,0,50,651,631,601,0,0
C2__baldwinian__s21,C2__baldwinian,C2,C2,baldwinian,21,0.5,1.0,6.0,0,3.0,0.3504370961611555,1800,0,50,607,587,557,0,0
C2__baldwinian__s22,C2__baldwinian,C2,C2,baldwinian,22,0.5,1.0,6.0,0,3.0,0.3765097875885048,1800,0,50,598,578,548,0,0
C2__baldwinian__s23,C2__baldwinian,C2,C2,baldwinian,23,0.5,1.0,6.0,0,3.0,0.3617021276595745,1800,0,50,608,588,558,0,0
C2__baldwinian__s24,C2__baldwinian,C2,C2,baldwinian,24,0.5,1.0,6.0,0,3.0,0.3366876310272537,1800,0,50,582,562,532,0,0
C2__baldwinian__s25,C2__baldwinian,C2,C2,baldwinian,25,0.5,1.0,6.0,0,3.0,0.3362143474503025,1800,0,50,526,506,476,0,0
C2__baldwinian__s26,C2__baldwinian,C2,C2,baldwinian,26,0.5,1.0,6.0,0,3.0,0.3843430369787569,1800,0,50,616,596,566,0,0
C2__baldwinian__s27,C2__baldwinian,C2,C2,baldwinian,27,0.5,1.0,6.0,0,3.0,0.3588067020841847,1800,0,50,558,538,508,0,0
C2__baldwinian__s28,C2__baldwinian,C2,C2,baldwinian,28,0.5,1.0,6.0,0,3.0,0.36153846153846153,1800,0,50,597,577,547,0,0
C2__baldwinian__s29,C2__baldwinian,C2,C2,baldwinian,29,0.5,1.0,6.0,0,3.0,0.3463414634146341,1800,0,50,593,573,543,0,0
C2__baldwinian__s30,C2__baldwinian,C2,C2,baldwinian,30,0.5,1.0,6.0,0,3.0,0.3652246256239601,1800,0,50,574,554,524,0,0
