cell_id,condition,family,inheritance_mode,fidelity,penalty,calibration_condition,n_agents,auc,auc_lo,auc_hi
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,C1,6128,0.7722877478702167,0.7584073993131538,0.7861121772623215
A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,0.7,6.0,C4,5871,0.760210048818281,0.7470909708776646,0.7734272806919286
A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,0.7,6.0,C4,6014,0.7675462854671845,0.7563012636915942,0.7791221526059018
A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,0.7,6.0,C4,5873,0.758137387519031,0.7464339592449355,0.7705955895481645
A_f0.9_blind__lamarckian,A_f0.9_blind,A,lamarckian,0.9,6.0,C4,5334,0.6831774511809435,0.6664128613006136,0.700819954525139
A_f0.9_cells__lamarckian,A_f0.9_cells,A,lamarckian,0.9,6.0,C4,5188,0.658059441985872,0.6432835336194159,0.6719059847962956
A_f0.9_move__lamarckian,A_f0.9_move,A,lamarckian,0.9,6.0,C4,5232,0.6606789965064415,0.6479060020301869,0.6737500898843758
A_f1_blind__lamarckian,A_f1_blind,A,lamarckian,1.0,6.0,C4,4610,0.5010752983656519,0.48389746967587566,0.5183642968935512
A_f1_cells__lamarckian,A_f1_cells,A,lamarckian,1.0,6.0,C4,4597,0.49586530937207896,0.4776514974401555,0.5126506504288753
A_f1_move__lamarckian,A_f1_move,A,lamarckian,1.0,6.0,C4,4587,0.479053583405448,0.4577359327851931,0.5009864792061082
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,C4,6286,0.7885806270358924,0.7782714711262431,0.7989836772342293
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,C4,4612,0.49104327926723706,0.47061250188512666,0.5116040076692107
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,0.7,6.0,C4,5890,0.7650221427747663,0.7518837029834554,0.7795961840923208
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,0.9,6.0,C4,5246,0.6657615868626601,0.6474961028476902,0.6844680165172482
