inheritance_mode,fidelity,treatment,baseline,policy,contrast,metric,mean_diff,ci_lo,ci_hi,n_pairs,sign_agreement,paired_cohen_d
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,rate,-0.0029124650580042285,-0.006638879775226853,0.0007492745469602055,30,0.6666666666666666,-0.275169398704776
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,delta_cue,-0.0025235067784066508,-0.00667656806478807,0.0017743211697900565,30,0.5666666666666667,-0.20892859031604108
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,delta_true,-0.0008986667271163665,-0.004613707000125931,0.002916440401019465,30,0.5333333333333333,-0.08322682108231816
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,realised_enforcement,0.020223098828747534,0.00969528769734398,0.030278547658543594,30,0.7333333333333333,0.713364632990823
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,mean_mask_overlap,0.011762323943661949,0.010299237089201817,0.01329050762910796,30,1.0,2.7119786814212508
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,mean_weight_kl,0.023578814894271594,0.02304432945084254,0.02414432112226301,30,1.0,15.257317798719315
baldwinian,0.7,A_f0.7_cells,C3_f0.7,adaptive_cells,adaptive-static,eval_heldout_delta_cue,-0.01230788358524789,-0.04017607356259405,0.01582675700388106,30,0.6333333333333333,-0.15244025683411994
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,rate,-0.001469098217178394,-0.005151006654232195,0.002163191702189761,30,0.5333333333333333,-0.13866212344343348
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,delta_cue,0.0011155720165944257,-0.003170305942752899,0.005593715436650355,30,0.5666666666666667,0.08599181304039552
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,delta_true,0.0004140154849006812,-0.00392300424001945,0.00495980003141266,30,0.5333333333333333,0.0332766475428649
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,realised_enforcement,0.022181847994152983,0.010546984107761009,0.03304922330473175,30,0.7333333333333333,0.665402276645354
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,mean_mask_overlap,0.03817899061032861,0.03661590375586851,0.03971659330985916,30,1.0,8.823497169917825
baldwinian,0.7,A_f0.7_move,C3_f0.7,adaptive_move,adaptive-static,mean_weight_kl,0.07179211403472649,0.0707565150278071,0.07289848199248135,30,1.0,23.02943902584412
