run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,50,train,50,0.7,33,3,80.74822053990225,0.875,0.5,255.0,48.0,38.0,204.0,84.0,11.0,0.0,0.0,44.0,6.0,5.0,34.0,21.0,1.0,0.0,0.0,0.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,100,train,50,0.82,13,13,59.42847814144018,0.8958333333333334,0.5,270.0,43.0,46.0,239.0,66.0,12.0,0.0,0.0,40.0,6.0,7.0,24.0,15.0,2.0,0.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,150,train,50,0.86,14,14,51.93487688292711,0.9166666666666666,0.5,282.0,55.0,69.0,375.0,113.0,18.0,0.0,0.0,39.0,6.0,21.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,200,train,49,0.9591836734693877,17,18,91.86941726062085,0.7708333333333334,0.5,328.0,50.0,42.0,263.0,105.0,20.0,0.0,0.0,51.0,1.0,9.0,22.0,13.0,5.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,250,train,43,1.069767441860465,16,22,91.8011157889935,0.8125,0.5,213.0,33.0,72.0,348.0,66.0,11.0,0.0,0.0,38.0,6.0,13.0,29.0,19.0,1.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,300,train,48,1.2708333333333333,26,21,64.88673219202933,0.9166666666666666,0.5,430.0,80.0,56.0,303.0,57.0,4.0,0.0,0.0,61.0,6.0,7.0,30.0,15.0,1.0,0.0,0.0,0.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,350,train,49,1.4489795918367347,15,14,60.69368476868149,0.875,0.5,223.0,30.0,51.0,269.0,41.0,4.0,0.0,0.0,28.0,2.0,7.0,36.0,12.0,2.0,0.0,0.0,0.0,0.0,7.0,36.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,400,train,41,1.6585365853658536,10,18,97.04622935073431,0.8125,0.5,306.0,55.0,54.0,332.0,100.0,19.0,0.0,0.0,49.0,6.0,8.0,26.0,16.0,2.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,450,train,46,1.9782608695652173,18,13,70.76667624159057,0.8541666666666666,0.5,380.0,53.0,79.0,458.0,109.0,13.0,0.0,0.0,58.0,5.0,11.0,21.0,22.0,2.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0
C3_f0.7__baldwinian__s1,C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,1,500,train,42,2.2857142857142856,15,19,74.86984098482105,0.875,0.5,321.0,73.0,98.0,421.0,51.0,7.0,0.0,0.0,42.0,6.0,15.0,30.0,11.0,1.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0
