population,n_candidates,paradigm,total_welfare_mean,total_welfare_std,supporter_welfare_mean,supporter_welfare_std,loser_welfare_mean,loser_welfare_std,gap_mean,gap_std,lambda_winner_mean,lambda_winner_std,lambda_effective_mean,lambda_effective_std,loser_share_mean,loser_share_std,majority_welfare_mean,majority_welfare_std,minority_welfare_mean,minority_welfare_std,cluster_0_welfare_mean,cluster_0_welfare_std,cluster_1_welfare_mean,cluster_1_welfare_std,cluster_2_welfare_mean,cluster_2_welfare_std,min_utility_mean,min_utility_std,p10_utility_mean,p10_utility_std,gini_utility_mean,gini_utility_std,total_welfare_norm_mean,total_welfare_norm_std,minority_welfare_norm_mean,minority_welfare_norm_std
two_cluster,6,party,0.23108191055647295,0.005186664224141539,0.2933601014807359,0.01800506674750317,0.16825523402773307,0.015058567000796517,0.1251048674530028,0.03156359250377379,0.4580025802754475,0.17893513762636867,0.4580025802754475,0.17893513762636867,0.49782499999999996,0.0021217667023954237,0.2554838957108746,0.05964278701290447,0.2066799254020713,0.06074904713825273,0.2066799254020713,0.06074904713825273,0.2554838957108746,0.05964278701290447,,,0.12040694237905146,0.01688001934836184,0.14807542542473706,0.01679847131102056,0.17402492942776263,0.03913305115929013,3.0953298987301965,17.500189219512116,1.0702519806250081,1.5144864276468277
two_cluster,6,individual,0.2307235367347713,0.006201611720317227,0.3003376355069301,0.027574576879889817,0.18868175990099567,0.0197633991146385,0.11165587560593444,0.04181350163354423,0.5114039796727695,0.21192472813635718,0.5114039796727695,0.21192472813635718,0.634775,0.07711340117913448,0.21485273624527682,0.06633512334560192,0.2465943372242658,0.06821384800853104,0.2465943372242658,0.06821384800853104,0.21485273624527682,0.06633512334560192,,,0.1151537744760248,0.021684191338421307,0.1432058806785638,0.019852347845186347,0.18364754841305364,0.04618456284228239,1.394600884559691,10.483474922802943,1.36855870272785,1.5423690020633642
two_cluster,6,score,0.2297841578462475,0.006490498034945332,0.27209322047547074,0.02719740162665593,0.21505003668905506,0.013614736697074144,0.05704318378641566,0.03543375697141424,0.5214791833650853,0.22075292067152916,0.5214791833650853,0.22075292067152916,0.7766249999999999,0.1036136075605766,0.23896881212057938,0.0507970164490459,0.22059950357191563,0.05132904785775436,0.22059950357191563,0.05132904785775436,0.23896881212057938,0.0507970164490459,,,0.127573279850203,0.020094859523352035,0.1610450446813734,0.022464103046704424,0.13980999761509116,0.04799102388311817,1.365207382027191,9.899419197964399,0.7517532585508794,1.0161760325302283
two_cluster,6,latent_match,0.22927843882480167,0.006962149304904272,0.26896505662805953,0.026519002529908346,0.21399164829808598,0.015603078224290001,0.05497340832997357,0.036656186545000156,0.5012035141985006,0.21887877635759573,0.5012035141985006,0.21887877635759573,0.770925,0.11457081474314951,0.2430656124653681,0.04839424099690593,0.21549126518423523,0.047970762304621044,0.21549126518423523,0.047970762304621044,0.2430656124653681,0.04839424099690593,,,0.13047993787551532,0.019265253415792015,0.16302365959100856,0.02182062735933169,0.13487733897025955,0.04749435249166218,1.3977016344467699,9.93573620930828,0.8621879268812659,1.0032067493192842
two_cluster,6,random_winner,0.23108953498486723,0.008048445661809586,0.3046979759396153,0.038885369031165865,0.21201988398980426,0.021460341718838306,0.09267809194981107,0.04754301657406859,0.508625130452432,0.21085466653582546,0.508625130452432,0.21085466653582546,0.8185250000000001,0.12506619207039885,0.22715463457114185,0.06601053282947676,0.2350244353985926,0.06637063882690267,0.2350244353985926,0.06637063882690267,0.22715463457114185,0.06601053282947676,,,0.11655708437114208,0.02100993910174551,0.14750687821646324,0.0223756682350193,0.17483914100478704,0.053711239151345014,0.0,0.0,0.0,0.0
two_cluster,6,utilitarian,0.2267266279445353,0.0016519054310486219,,,,,,,,,,,,,0.22625975924658853,0.0031802093762068185,0.22719349664248206,0.00282848530012903,0.22719349664248206,0.00282848530012903,0.22625975924658853,0.0031802093762068185,,,0.16335885101175973,0.00868139656568852,0.20475534467946108,0.0018989098102458694,0.03932967975422778,0.0017610444788983357,1.0,0.0,1.0,0.0
two_cluster,6,egalitarian,0.2,7.745684982190775e-17,,,,,,,,,,,,,0.2,8.643074524544969e-17,0.2,9.000321143781285e-17,0.2,9.000321143781285e-17,0.2,8.643074524544969e-17,,,0.19999999999999984,1.7281646861476374e-16,0.19999999999999993,7.750706496483019e-17,1.2878587085651815e-16,2.1677869338210735e-16,-5.07358200669317,58.27687246761892,0.9286048207452134,0.6483638253000098
two_cluster,8,party,0.23142878054643373,0.005035524025450336,0.2969983330723286,0.01958449631980236,0.16530952565884635,0.015875494208002078,0.13168880741348224,0.03419442783721196,0.5051651752898862,0.21076448448480814,0.5051651752898862,0.21076448448480814,0.497875,0.002021819112891293,0.2601468118423058,0.062496900230412676,0.20271074925056168,0.061718732397968566,0.20271074925056168,0.061718732397968566,0.2601468118423058,0.062496900230412676,,,0.116550997773106,0.01987705039863209,0.14358591489363648,0.018442610470786693,0.18201764695313014,0.042081933787698596,2.1310751940744117,14.123587367321278,1.4024085677959612,1.6808236181495422
two_cluster,8,individual,0.23098078194514585,0.00680170336039155,0.30044709032749495,0.029276748358382447,0.20069762539976752,0.013900282045355605,0.09974946492772745,0.0355688147497824,0.4979407110144509,0.2127010714757684,0.4979407110144509,0.2127010714757684,0.700225,0.07515732237154678,0.23228649157241127,0.06782597572286518,0.22967507231788045,0.06839510243780997,0.22967507231788045,0.06839510243780997,0.23228649157241127,0.06782597572286518,,,0.11579805261487207,0.02083774008786784,0.1441451257873653,0.019324914020011377,0.18064587346297817,0.043298899089263744,0.41319522277556997,9.059532890106741,1.4573533563057852,1.7195524803625903
two_cluster,8,score,0.2297644053298087,0.007071511077239116,0.2749887822204484,0.029664198758283442,0.2165139283487051,0.012191461846166624,0.058474853871743324,0.03606818956265392,0.5225888736538643,0.22643062159192967,0.5225888736538643,0.22643062159192967,0.8063750000000001,0.09409482040618776,0.22492673303732882,0.053887342644656076,0.23460207762228863,0.05310307609768703,0.23460207762228863,0.05310307609768703,0.22492673303732882,0.053887342644656076,,,0.126849830651424,0.02072217259082352,0.15934733813908722,0.021910990155431333,0.14340285679370218,0.04753183077240718,0.0026143535435737084,6.316859425521305,1.0672457088788005,1.2803694267617391
