population,n_candidates,paradigm,alloc_public_good,alloc_majority_pork,alloc_minority_pork,alloc_prestige,alloc_periphery_buffer
two_cluster,6,party,0.26537118299094403,0.21420111800795197,0.3298807194057807,0.0985987620609178,0.0919482175344055
two_cluster,6,individual,0.26403007966983727,0.308042928440559,0.23408959179424937,0.09882160178312355,0.09501579831223082
two_cluster,6,score,0.29668741839329293,0.23145906721140885,0.274783668070197,0.10064896747700278,0.09642087884809847
two_cluster,6,latent_match,0.29612444742546806,0.2192372392400306,0.2850107730091973,0.10142525520685158,0.09820228511845254
two_cluster,6,random_winner,0.2676717674824307,0.2788380593191372,0.2618062732112364,0.09858880361521512,0.09309509637198056
two_cluster,6,utilitarian,0.24941579787506632,0.26502750502873584,0.26356670740296256,0.10750738545720391,0.11448260423603138
two_cluster,6,egalitarian,0.2,0.2,0.20000000000000004,0.20000000000000004,0.19999999999999993
two_cluster,8,party,0.27010166646617484,0.20296630609441574,0.33867851382851244,0.09560467147300176,0.09264884213789523
two_cluster,8,individual,0.26716899050959747,0.26582544064046176,0.2737090319677118,0.09846760776392939,0.09482892911829964
two_cluster,8,score,0.2884404274348137,0.26835344720446636,0.24435948996884027,0.09807315425757361,0.10077348113430613
two_cluster,8,latent_match,0.2856678554437833,0.260338601570392,0.24475711005341957,0.10099876610336,0.10823766682904509
two_cluster,8,random_winner,0.2686603304686384,0.27046541691357273,0.2630744910189931,0.10335949437678778,0.09444026722200799
two_cluster,8,utilitarian,0.2498693126053228,0.264794752506784,0.26351616958739377,0.10680404049031172,0.11501572481018765
two_cluster,8,egalitarian,0.2,0.2,0.1999999999999999,0.2,0.2000000000000001
two_cluster,12,party,0.2713677484629746,0.20259271143130253,0.33353937810175444,0.0938076288496237,0.09869253315434465
two_cluster,12,individual,0.2663889947199809,0.30059444299246363,0.2398699408779536,0.09041919107072044,0.10272743033888139
two_cluster,12,score,0.30051546669769885,0.2375155595963879,0.2593899564852466,0.10253393779186083,0.10004507942880586
