population,n_candidates,paradigm,endpoint,family,n_pairs,delta_mean,delta_sd,ci_low,ci_high,pvalue,effect_size,wilcoxon_stat,pvalue_adjusted
two_cluster,6,individual,minority_welfare,primary,100,-0.04063115946559782,0.0851297758194728,-0.05752275389217276,-0.023739565039022876,0.00010076375400562272,-0.477284934377846,1394.0,0.0006045825240337363
two_cluster,6,individual,total_welfare,primary,100,-0.00035837382170166883,0.0054725632007407545,-0.0014442490888554515,0.0007275014454521138,0.5292093269572754,-0.06548555193536369,2342.0,0.5292093269572754
two_cluster,6,individual,loser_welfare,exploratory,100,0.02042652587326258,0.02109698332054468,0.016240426680066516,0.024612625066458647,8.787363278671952e-13,0.9682202219580278,446.0,
two_cluster,6,individual,gap,exploratory,100,-0.013448991847068366,0.04271483570457518,-0.021924541955993047,-0.004973441738143682,0.0004709164279142287,-0.31485528681614117,1508.0,
two_cluster,6,individual,loser_share,exploratory,100,0.13695000000000002,0.0773492179349702,0.12160223705814802,0.15229776294185202,8.323060482278593e-18,1.7705414955214929,0.0,
two_cluster,6,individual,majority_welfare,exploratory,100,0.03991441182219449,0.08642230718674626,0.02276635113067943,0.05706247251370955,0.00019901189269845365,0.4618531154918735,1443.0,
two_cluster,6,individual,min_utility,exploratory,100,-0.0052531679030266565,0.021066016797178084,-0.009433122666163153,-0.0010732131398901602,0.007864669519931426,-0.24936692843282784,1752.0,
two_cluster,6,individual,p10_utility,exploratory,100,-0.004869544746173285,0.020642381332930847,-0.008965441042364526,-0.000773648449982043,0.029011054990631654,-0.23590033861087947,1890.0,
two_cluster,6,individual,gini_utility,exploratory,100,0.009622618985290994,0.047243295659877275,0.0002485241755772437,0.018996713795004744,0.05417159648941415,0.20368221248932214,1965.0,
two_cluster,6,individual,supporter_welfare,exploratory,100,0.006977534026194212,0.02710693313919758,0.0015989304021626662,0.012356137650225758,0.0439194922345891,0.25740772629510245,1939.0,
two_cluster,6,individual,lambda_winner,exploratory,100,0.053401399397322066,0.2063110298429779,0.012464815125953273,0.09433798366869087,0.007552701063904588,0.258839284734149,378.0,
two_cluster,6,score,minority_welfare,primary,100,-0.01651508359029524,0.07556328981576772,-0.0315084796473036,-0.001521687533286879,0.0057025281218700844,-0.21855961579440195,1721.0,0.028512640609350423
two_cluster,6,score,total_welfare,primary,100,-0.0012977527102254558,0.007969128634022335,-0.0028790007227254386,0.00028349530227452695,0.08747921121495726,-0.16284750439150944,2028.0,0.18426459741145085
two_cluster,6,score,loser_welfare,exploratory,100,0.04679480266132199,0.018807654184874466,0.04306295603600167,0.0505266492866423,3.896559845095909e-18,2.488072260439338,0.0,
two_cluster,6,score,gap,exploratory,100,-0.06806168366658714,0.04632270879489293,-0.07725311407000993,-0.05887025326316436,4.7408945782600864e-17,-1.4692941202542742,84.0,
two_cluster,6,score,loser_share,exploratory,100,0.27879999999999994,0.10377257573534288,0.25820926961161467,0.2993907303883852,3.892385512934327e-18,2.686644308714467,0.0,
two_cluster,6,score,majority_welfare,exploratory,100,0.013919578169844326,0.0754954490135342,-0.0010603568001839349,0.028899513139872587,0.014225206202028851,0.18437638760647598,1812.0,
two_cluster,6,score,min_utility,exploratory,100,0.00716633747115153,0.022082246014770275,0.002784740783990651,0.01154793415831241,3.582668986842989e-05,0.32452937379459235,1323.0,
two_cluster,6,score,p10_utility,exploratory,100,0.012969619256636328,0.02402355560552186,0.00820282462965079,0.017736413883621866,2.6485745381729024e-08,0.5398709279177324,907.0,
two_cluster,6,score,gini_utility,exploratory,100,-0.03421493181267146,0.05666563987522992,-0.045458624133963704,-0.02297123949137922,2.3383109695574695e-09,-0.6038038551758723,788.0,
