population,n_voters,n_candidates,paradigm,trial,seed,winner,total_welfare,supporter_welfare,loser_welfare,gap,lambda_winner,lambda_effective,loser_share,majority_welfare,minority_welfare,cluster_0_welfare,cluster_1_welfare,cluster_2_welfare,min_utility,p10_utility,gini_utility,total_welfare_norm,minority_welfare_norm,alloc_public_good,alloc_majority_pork,alloc_minority_pork,alloc_prestige,alloc_periphery_buffer
two_cluster,400,6,party,0,0,5,0.23126152195667005,0.29547407149477856,0.16640362016189714,0.12907045133288142,0.39719305894879575,0.39719305894879575,0.4975,0.16662189154252885,0.2959011523708112,0.2959011523708112,0.16662189154252885,,0.1267291215889613,0.14664110406385408,0.17701129775672797,0.5482286897798704,2.8735584113629264,0.24612335237884972,0.4319870467757947,0.12877636856149058,0.09822994293341307,0.09488328935045198
two_cluster,400,6,individual,0,0,4,0.22120641394207471,0.2698624166647185,0.2032103581405489,0.06665205852416958,0.3357917129466775,0.3357917129466775,0.73,0.26863237025632,0.17378045762782945,0.17378045762782945,0.26863237025632,,0.1296373238174917,0.1582497648724334,0.13850571002727463,1.4790797217870117,-0.5101933670237728,0.23592626261592542,0.13762283221982013,0.3697373677737156,0.17501277052671563,0.0817007668638234
two_cluster,400,6,score,0,0,0,0.22507606535113517,0.27186325033413306,0.215493147944979,0.05637010238915405,0.9201257543709176,0.9201257543709176,0.83,0.1650794215792512,0.2850727091230192,0.2850727091230192,0.1650794215792512,,0.08780161299139456,0.1284655346285712,0.17573894790493272,1.1208469705919688,2.5735211066784847,0.35311282380662623,0.34926443588808453,0.06977340787610779,0.13558143785262095,0.09226789457656051
two_cluster,400,6,latent_match,0,0,0,0.22507606535113517,0.27186325033413306,0.215493147944979,0.05637010238915405,0.9201257543709176,0.9201257543709176,0.83,0.1650794215792512,0.2850727091230192,0.2850727091230192,0.1650794215792512,,0.08780161299139456,0.1284655346285712,0.17573894790493272,1.1208469705919688,2.5735211066784847,0.35311282380662623,0.34926443588808453,0.06977340787610779,0.13558143785262095,0.09226789457656051
two_cluster,400,6,random_winner,0,0,3,0.23718352075442653,0.3083530769756384,0.23324008887937261,0.07511298809626579,0.287005240309732,0.287005240309732,0.9475,0.28217354045621607,0.19219350105263705,0.19219350105263705,0.28217354045621607,,0.12128386996582785,0.16470047919077738,0.13430316285422328,-0.0,0.0,0.34038077281744555,0.14466975123813514,0.3716518055278361,0.06736546098016878,0.07593220943641436
two_cluster,400,6,utilitarian,0,0,-1,0.22638146148946114,,,,,,,0.22447909889401887,0.22828382408490341,0.22828382408490341,0.22447909889401887,,0.16156831186252885,0.2034472924302818,0.03764890113068864,1.0,1.0,0.2530898234731287,0.2636501880275677,0.2609543165770733,0.113216797228358,0.10908887469387245
two_cluster,400,6,egalitarian,0,0,-1,0.2,,,,,,,0.20000000000000004,0.2,0.2,0.20000000000000004,,0.19999999999999993,0.19999999999999998,2.220446049250313e-16,3.4422622429988743,0.21630449082940048,0.19999999999999996,0.2,0.20000000000000004,0.2000000000000001,0.2
two_cluster,400,6,party,1,0,2,0.2306720207008021,0.2837775494960218,0.17756649190558244,0.10621105759043936,0.40094407938867177,0.40094407938867177,0.5,0.2837775494960218,0.17756649190558244,0.17756649190558244,0.2837775494960218,,0.12912656243257256,0.15414600885825852,0.15074992978658597,51.19793346778434,0.04273738294025039,0.2977090294557423,0.12196443006093863,0.3820664049647899,0.08000237533173446,0.11825776018679471
two_cluster,400,6,individual,1,0,3,0.23022847660331616,0.2979413106786716,0.1811950450315071,0.11674626564716448,0.2653541927252853,0.2653541927252853,0.58,0.1658595692422993,0.29459738396433305,0.29459738396433305,0.1658595692422993,,0.12988531911708812,0.1528546628576184,0.17966831095269353,47.476664331008394,2.563687557100117,0.2096592603407898,0.4695934569446618,0.1477481349972783,0.07992848928136026,0.09307065843590986
two_cluster,400,6,score,1,0,2,0.23021115925412047,0.2868707582853943,0.21921750571073895,0.06765325257465538,0.40094407938867177,0.40094407938867177,0.8375,0.2844563191497537,0.1759659993584872,0.1759659993584872,0.2844563191497537,,0.1311512746041216,0.15323159768931605,0.15304371280979767,47.3313743419003,0.00826134080843597,0.2850887144296877,0.12408486289803236,0.3891894632894607,0.06778056014210002,0.13385639924071932
two_cluster,400,6,latent_match,1,0,2,0.23021115925412047,0.2868707582853943,0.21921750571073895,0.06765325257465538,0.40094407938867177,0.40094407938867177,0.8375,0.2844563191497537,0.1759659993584872,0.1759659993584872,0.2844563191497537,,0.1311512746041216,0.15323159768931605,0.15304371280979767,47.3313743419003,0.00826134080843597,0.2850887144296877,0.12408486289803236,0.3891894632894607,0.06778056014210002,0.13385639924071932
two_cluster,400,6,random_winner,1,0,4,0.2245696560616276,0.2644901969741513,0.2145895208334967,0.04990067614065463,0.714146783129845,0.714146783129845,0.8,0.2735568316832786,0.1755824804399767,0.1755824804399767,0.2735568316832786,,0.10527558983646948,0.1393610910110053,0.1495108056147909,0.0,0.0,0.3477741630172338,0.08353033490608136,0.327366133675762,0.15517818941483771,0.08615117898608508
two_cluster,400,6,utilitarian,1,0,-1,0.22468884768179356,,,,,,,0.22737188880699946,0.22200580655658764,0.22200580655658764,0.22737188880699946,,0.17358006468622497,0.20505585591216413,0.03663561287714656,1.0,1.0,0.2615930947767162,0.24928919463901486,0.26086676929428276,0.11166778258036714,0.116583158709619
two_cluster,400,6,egalitarian,1,0,-1,0.19999999999999996,,,,,,,0.19999999999999993,0.2,0.2,0.19999999999999993,,0.19999999999999984,0.19999999999999993,2.220446049250313e-16,-206.1357671572578,0.525975228459263,0.19999999999999987,0.20000000000000004,0.19999999999999993,0.19999999999999993,0.20000000000000018
two_cluster,400,6,party,2,0,0,0.22564732584271446,0.30486218524821246,0.1464324664372164,0.15842971881099605,0.6208566466180543,0.6208566466180543,0.5,0.3046624927497296,0.1466321589356993,0.1466321589356993,0.3046624927497296,,0.0990156244709553,0.12801291610857685,0.21992047726909592,0.9272624743904124,0.06181953968874174,0.18718943925238052,0.09424488205845857,0.48731665757287096,0.14853787868481022,0.0827111424314798
two_cluster,400,6,individual,2,0,0,0.2226958200458187,0.3110426940642482,0.19205700515053842,0.11898568891370981,0.6208566466180543,0.6208566466180543,0.7425,0.3038748653681723,0.14151677472346505,0.14151677472346505,0.3038748653681723,,0.09797195421895394,0.12528222830920646,0.2288357221209174,0.0,0.0,0.15993507171657673,0.09306498315890131,0.4964213694486889,0.16620672076408885,0.08437185491174422
two_cluster,400,6,score,2,0,1,0.2255097446106071,0.24070491038041777,0.2226154273211194,0.01808948305929836,0.3037581334528564,0.3037581334528564,0.84,0.19814839873577975,0.2528710904854346,0.2528710904854346,0.19814839873577975,,0.14953181137238875,0.17536866656609934,0.09372613642522665,0.8840391428124339,1.3457195505072475,0.3355179942159939,0.2865162316350336,0.15113536185739462,0.0785313411313724,0.14829907116020563
two_cluster,400,6,latent_match,2,0,1,0.2255097446106071,0.24070491038041777,0.2226154273211194,0.01808948305929836,0.3037581334528564,0.3037581334528564,0.84,0.19814839873577975,0.2528710904854346,0.2528710904854346,0.19814839873577975,,0.14953181137238875,0.17536866656609934,0.09372613642522665,0.8840391428124339,1.3457195505072475,0.3355179942159939,0.2865162316350336,0.15113536185739462,0.0785313411313724,0.14829907116020563
two_cluster,400,6,random_winner,2,0,0,0.2226958200458187,0.3110426940642482,0.19205700515053842,0.11898568891370981,0.6208566466180543,0.6208566466180543,0.7425,0.3038748653681723,0.14151677472346505,0.14151677472346505,0.3038748653681723,,0.09797195421895394,0.12528222830920646,0.2288357221209174,0.0,0.0,0.15993507171657673,0.09306498315890131,0.4964213694486889,0.16620672076408885,0.08437185491174422
two_cluster,400,6,utilitarian,2,0,-1,0.22587885168832758,,,,,,,0.2274938839810693,0.22426381939558587,0.22426381939558587,0.2274938839810693,,0.1548458408951721,0.20612110611462414,0.03768431424116536,1.0,1.0,0.2614639297427069,0.25350447419711336,0.2609962289072001,0.10777549531989954,0.11625987183308009
two_cluster,400,6,egalitarian,2,0,-1,0.20000000000000004,,,,,,,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,,0.19999999999999996,0.19999999999999998,0.0,-7.130252725960869,0.7067711663693916,0.2000000000000001,0.20000000000000004,0.19999999999999998,0.19999999999999998,0.19999999999999993
two_cluster,400,6,party,3,0,4,0.2286143238966349,0.2840064251220079,0.17322222267126186,0.11078420245074605,0.5067889651068643,0.5067889651068643,0.5,0.2837975152020136,0.17343113259125617,0.17343113259125617,0.2837975152020136,,0.12947166326032378,0.15287935696064514,0.15700318225638665,0.5224391534513847,1.7462216340758017,0.2831437246116714,0.12764245468068197,0.38945452529511426,0.11907455144715184,0.08068474396538054
two_cluster,400,6,individual,3,0,4,0.2287969649790921,0.28869908038564784,0.1916916060430475,0.09700747434260035,0.5067889651068643,0.5067889651068643,0.6175,0.2854906416975329,0.1721032882606513,0.1721032882606513,0.2854906416975329,,0.12716379564267924,0.15258013834696113,0.1603798530994207,0.4879616625692684,1.7649032428318538,0.2714561311471035,0.13003860595610695,0.39857803888022364,0.12513840011917637,0.07478882389738953
two_cluster,400,6,score,3,0,2,0.21494185776999167,0.2711092878692807,0.20240295135638892,0.06870633651289176,0.8649395483927343,0.8649395483927343,0.8175,0.1452279560750079,0.2846557594649754,0.2846557594649754,0.1452279560750079,,0.09160852906433924,0.12798594167706664,0.20240323970938556,3.1034155683709344,0.18138838110994232,0.20468558425847863,0.4117737896958469,0.07919487526938986,0.15313114932878188,0.1512146014475027
two_cluster,400,6,latent_match,3,0,4,0.2287969649790921,0.28869908038564784,0.1916916060430475,0.09700747434260035,0.5067889651068643,0.5067889651068643,0.6175,0.2854906416975329,0.1721032882606513,0.1721032882606513,0.2854906416975329,,0.12716379564267924,0.15258013834696113,0.1603798530994207,0.4879616625692684,1.7649032428318538,0.2714561311471035,0.13003860595610695,0.39857803888022364,0.12513840011917637,0.07478882389738953
two_cluster,400,6,random_winner,3,0,5,0.23138189340540893,0.3376710655952678,0.22086977747454375,0.11680128812072407,0.19456997228530035,0.19456997228530035,0.91,0.16521537250869384,0.29754841430212403,0.29754841430212403,0.16521537250869384,,0.12540473165596483,0.15432187007458115,0.186183824454055,-0.0,-0.0,0.16187772636669953,0.4768309972099303,0.15889307768965197,0.12284123149308843,0.07955696724062987
two_cluster,400,6,utilitarian,3,0,-1,0.22608449275982054,,,,,,,0.22569819348999431,0.22647079202964676,0.22647079202964676,0.22569819348999431,,0.1601332288822059,0.20336548008653302,0.04001679149637005,1.0,1.0,0.24448813660233035,0.2667423859158398,0.2646164191628752,0.10939349831608651,0.11475956000286824
two_cluster,400,6,egalitarian,3,0,-1,0.1999999999999998,,,,,,,0.19999999999999993,0.19999999999999965,0.19999999999999965,0.19999999999999993,,0.1999999999999993,0.1999999999999995,4.440892098500626e-16,5.924017363410782,1.3724208996211336,0.19999999999999973,0.19999999999999915,0.19999999999999984,0.20000000000000032,0.2000000000000007
two_cluster,400,6,party,4,0,0,0.24042749272003988,0.3177240672692108,0.1615693712102797,0.15615469605893112,0.5234284580338251,0.5234284580338251,0.495,0.16212142163194979,0.31873356380813,0.31873356380813,0.16212142163194979,,0.1109702015279941,0.1350652950569693,0.2075829633585229,2.1625054901415197,-3.3234670763973715,0.27481107262060805,0.4639733907256909,0.10814960832366646,0.0794450059814535,0.07362092234858113
two_cluster,400,6,individual,4,0,2,0.23111533694938452,0.30435770840860266,0.1857465805394235,0.11861112786917916,0.3240487476279389,0.3240487476279389,0.6175,0.2901276789834899,0.17210299491527917,0.17210299491527917,0.2901276789834899,,0.14278119132777373,0.15762152385863912,0.16513773381236518,1.2302317739657906,4.093803609889511,0.24128659331804092,0.14167310761771668,0.4286074544744054,0.07792031027277527,0.11051253431706179
two_cluster,400,6,score,4,0,3,0.22891381132385605,0.22762159703975132,0.22922186240706366,-0.0016002653673123368,0.18920565302427023,0.18920565302427023,0.8075,0.20245408600076029,0.2553735366469517,0.2553735366469517,0.20245408600076029,,0.15630039016131178,0.18437625075637418,0.08339704646464652,1.0098290523279974,-0.1184159353330082,0.30661185501518107,0.2973007985862573,0.1818280823985551,0.09751344748811458,0.11674581651189204
two_cluster,400,6,latent_match,4,0,3,0.22891381132385605,0.22762159703975132,0.22922186240706366,-0.0016002653673123368,0.18920565302427023,0.18920565302427023,0.8075,0.20245408600076029,0.2553735366469517,0.2553735366469517,0.20245408600076029,,0.15630039016131178,0.18437625075637418,0.08339704646464652,1.0098290523279974,-0.1184159353330082,0.30661185501518107,0.2973007985862573,0.1818280823985551,0.09751344748811458,0.11674581651189204
two_cluster,400,6,random_winner,4,0,5,0.21882698245176646,0.2423336911340157,0.21523662060692725,0.027097070527088457,0.3850943083633978,0.3850943083633978,0.8675,0.1846213696484006,0.2530325952551323,0.2530325952551323,0.1846213696484006,,0.13545042739190466,0.16242316824793315,0.10516038519336912,0.0,-0.0,0.3055876154041836,0.28414174993036645,0.128720212475021,0.17299751864794385,0.1085529035424851
two_cluster,400,6,utilitarian,4,0,-1,0.22881563236121008,,,,,,,0.22436747326245512,0.23326379145996504,0.23326379145996504,0.22436747326245512,,0.15958989025218626,0.2072573033061315,0.03948674076683534,1.0,1.0,0.25536320585980626,0.2711544547356627,0.25892297579479767,0.11056293327844015,0.10399643033129316
