inheritance_mode,n_runs,late_mean,late_ci_lo,late_ci_hi,late_sd,late_band_lo,late_band_hi,window_band_hi,window_band_lo,heldout_band_hi,heldout_band_lo,delta_true_mean,delta_true_ci_lo,delta_true_ci_hi
baldwinian,30,0.006298136470465257,0.003856012235448578,0.00878610817266861,0.007110417443870079,-0.007922698417274901,0.020518971358205414,0.06759172986669647,-0.05719469849291515,0.0914437388795241,-0.07168378899458695,0.009367838783047174,0.006874865943125957,0.011985598819623225
lamarckian,30,0.006873799619357922,0.0029193630202171117,0.010822957143926752,0.011012271030244495,-0.015150742441131067,0.028898341679846912,0.05993114113623804,-0.045479386776879974,0.18717872385866108,-0.08905614921715244,0.006608981959871942,0.005079552860354417,0.008074560756592027
