run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
C1__lamarckian__s20,C1__lamarckian,C1,C1,lamarckian,20,0.05993114113623804,,,50.0,0.9591836734693876
C1__lamarckian__s21,C1__lamarckian,C1,C1,lamarckian,21,0.05993114113623804,,,50.0,0.78
C1__lamarckian__s22,C1__lamarckian,C1,C1,lamarckian,22,0.05993114113623804,,,50.0,0.8
C1__lamarckian__s23,C1__lamarckian,C1,C1,lamarckian,23,0.05993114113623804,,,50.0,0.74
C1__lamarckian__s24,C1__lamarckian,C1,C1,lamarckian,24,0.05993114113623804,,,50.0,0.7
C1__lamarckian__s25,C1__lamarckian,C1,C1,lamarckian,25,0.05993114113623804,,,100.0,1.0238095238095235
C1__lamarckian__s26,C1__lamarckian,C1,C1,lamarckian,26,0.05993114113623804,,,50.0,0.7
C1__lamarckian__s27,C1__lamarckian,C1,C1,lamarckian,27,0.05993114113623804,,,50.0,0.88
C1__lamarckian__s28,C1__lamarckian,C1,C1,lamarckian,28,0.05993114113623804,,,50.0,0.78
C1__lamarckian__s29,C1__lamarckian,C1,C1,lamarckian,29,0.05993114113623804,,,50.0,0.82
C1__lamarckian__s30,C1__lamarckian,C1,C1,lamarckian,30,0.05993114113623804,,,50.0,0.78
C1_p3__baldwinian__s1,C1_p3__baldwinian,C1_p3,C1,baldwinian,1,0.06759172986669647,,,700.0,1.9
C1_p3__baldwinian__s2,C1_p3__baldwinian,C1_p3,C1,baldwinian,2,0.06759172986669647,,,400.0,1.64
C1_p3__baldwinian__s3,C1_p3__baldwinian,C1_p3,C1,baldwinian,3,0.06759172986669647,,,100.0,0.8
C1_p3__baldwinian__s4,C1_p3__baldwinian,C1_p3,C1,baldwinian,4,0.06759172986669647,,,700.0,2.46
C1_p3__baldwinian__s5,C1_p3__baldwinian,C1_p3,C1,baldwinian,5,0.06759172986669647,,,1150.0,3.82
C1_p3__baldwinian__s6,C1_p3__baldwinian,C1_p3,C1,baldwinian,6,0.06759172986669647,,,,
C1_p3__baldwinian__s7,C1_p3__baldwinian,C1_p3,C1,baldwinian,7,0.06759172986669647,,,450.0,1.2608695652173914
C1_p3__baldwinian__s8,C1_p3__baldwinian,C1_p3,C1,baldwinian,8,0.06759172986669647,,,350.0,1.125
C1_p3__baldwinian__s9,C1_p3__baldwinian,C1_p3,C1,baldwinian,9,0.06759172986669647,,,250.0,0.84
C1_p3__baldwinian__s10,C1_p3__baldwinian,C1_p3,C1,baldwinian,10,0.06759172986669647,,,1200.0,3.74
C1_p3__baldwinian__s11,C1_p3__baldwinian,C1_p3,C1,baldwinian,11,0.06759172986669647,,,150.0,0.78
C1_p3__baldwinian__s12,C1_p3__baldwinian,C1_p3,C1,baldwinian,12,0.06759172986669647,,,1400.0,4.16
C1_p3__baldwinian__s13,C1_p3__baldwinian,C1_p3,C1,baldwinian,13,0.06759172986669647,,,,
C1_p3__baldwinian__s14,C1_p3__baldwinian,C1_p3,C1,baldwinian,14,0.06759172986669647,,,250.0,1.14
C1_p3__baldwinian__s15,C1_p3__baldwinian,C1_p3,C1,baldwinian,15,0.06759172986669647,,,,
C1_p3__baldwinian__s16,C1_p3__baldwinian,C1_p3,C1,baldwinian,16,0.06759172986669647,,,100.0,0.76
C1_p3__baldwinian__s17,C1_p3__baldwinian,C1_p3,C1,baldwinian,17,0.06759172986669647,,,250.0,1.0
C1_p3__baldwinian__s18,C1_p3__baldwinian,C1_p3,C1,baldwinian,18,0.06759172986669647,,,100.0,0.6
C1_p3__baldwinian__s19,C1_p3__baldwinian,C1_p3,C1,baldwinian,19,0.06759172986669647,,,800.0,3.32
C1_p3__baldwinian__s20,C1_p3__baldwinian,C1_p3,C1,baldwinian,20,0.06759172986669647,,,100.0,0.76
C1_p3__baldwinian__s21,C1_p3__baldwinian,C1_p3,C1,baldwinian,21,0.06759172986669647,,,1350.0,4.68
C1_p3__baldwinian__s22,C1_p3__baldwinian,C1_p3,C1,baldwinian,22,0.06759172986669647,,,850.0,2.38
