cell_id,condition,family,inheritance_mode,fidelity,penalty,n_runs,n_extinct,expected_penalty_per_defection,rate_mean,rate_lo,rate_hi,rate_cue0_mean,rate_cue0_lo,rate_cue0_hi,rate_cue1_mean,rate_cue1_lo,rate_cue1_hi,delta_cue_mean,delta_cue_lo,delta_cue_hi,delta_true_mean,delta_true_lo,delta_true_hi,realised_enforcement_mean,realised_enforcement_lo,realised_enforcement_hi,population_late_mean,population_late_lo,population_late_hi,mean_generation_end_mean,mean_generation_end_lo,mean_generation_end_hi,eval_heldout_delta_cue_mean,eval_heldout_delta_cue_lo,eval_heldout_delta_cue_hi,eval_train_delta_cue_mean,eval_train_delta_cue_lo,eval_train_delta_cue_hi
C0__baldwinian,C0,C0,baldwinian,-1.0,6.0,30,0,0.0,0.23908973401050612,0.23283589346820469,0.24580467647646612,0.23908973401050612,0.23283589346820469,0.24580467647646612,,,,,,,,,,0.0,0.0,0.0,44.92888888888888,44.02861111111112,45.786999999999985,4.99341238960137,4.785509390727158,5.218078072580339,,,,,,
C0__lamarckian,C0,C0,lamarckian,-1.0,6.0,30,0,0.0,0.4875583956209161,0.4720888689255965,0.5033495246458741,0.4875583956209161,0.4720888689255965,0.5033495246458741,,,,,,,,,,0.0,0.0,0.0,35.44222222222222,34.86666666666667,35.99555555555555,5.18633503015211,4.985876510705651,5.389892320916059,,,,,,
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,30,0,3.0,0.09827807357287048,0.09564168189415058,0.10114119482136004,0.10008998420471517,0.09730910855380799,0.10296122038565002,0.0964682146161448,0.09359432908540478,0.09944764434499791,0.003621769588570371,0.0017004292911080477,0.005605733280420609,0.011243754832189645,0.009043195445252688,0.013353895703660678,0.46973895405334726,0.46383612399939034,0.4754777602730138,48.84666666666667,48.16444444444445,49.44444444444444,4.683504799039754,4.440919923653966,4.938638648863801,0.005034596760522022,-0.01362664593574269,0.031197681843083823,0.0026884281583176516,-0.0019079560677837813,0.007709393045765401
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,30,0,3.0,0.07645265394879379,0.07397541326955208,0.07886044735040391,0.07600928435842365,0.0730781514474176,0.07880013412021666,0.07688295198602894,0.07436947160311867,0.07968174060006958,-0.0008736676276052814,-0.003477786993339675,0.001682954441460357,0.004586429384777207,0.0025178973756755244,0.0065767543152194415,0.4794076383563572,0.47340330691200966,0.48540294518508637,49.46222222222222,49.093333333333334,49.784444444444446,4.046792390447802,3.8839647000376876,4.223238079881454,0.0028130928627823847,-0.016693915149492002,0.022211815154278936,0.003024267704329271,-0.0004215915190945099,0.006521477414028449
C1_p3__baldwinian,C1_p3,C1,baldwinian,0.0,3.0,30,0,1.5,0.12642424884006417,0.12347695466183158,0.1298505195746049,0.12870166879678407,0.1253276316590801,0.1325871237246919,0.12413307437026339,0.12086997099117003,0.12766797006202477,0.004568594426520686,0.0016428713017533146,0.007920864959017691,0.007535680159346668,0.0039545802747409904,0.010955083205183683,0.48774878458135024,0.48089880258093526,0.49464988979498814,47.162222222222226,46.204444444444455,48.015833333333326,4.998329809665658,4.757263109652044,5.25826832014747,0.027408656537755594,0.009467683222459491,0.0458787167435866,-0.001433272702550424,-0.00836057601153518,0.00484628143810949
C1_p3__lamarckian,C1_p3,C1,lamarckian,0.0,3.0,30,0,1.5,0.14200733778188082,0.13870890741577435,0.14542799582149263,0.14399006358996744,0.1402989424783592,0.1476431462279528,0.14003420516340714,0.13578745152546157,0.14485788047619397,0.003955858426560318,-0.001162650406367102,0.008879320605281063,0.006905741908403784,0.004016974329088464,0.009683252545562493,0.48053730447748255,0.4737361142460335,0.4872360411084076,38.477777777777774,37.75538888888889,39.22666666666667,5.328359895547703,5.071966741474237,5.611547684840352,0.016273249468150317,-0.011867771942469931,0.043676741468458485,0.006990231048886154,-0.002107801556646127,0.015838947582324906
C1_p9__baldwinian,C1_p9,C1,baldwinian,0.0,9.0,30,0,4.5,0.10109802955870349,0.09778203847755569,0.10447315960685205,0.10315312718662907,0.0999317412897396,0.10654237572949393,0.0990350737960005,0.09540521410598254,0.10269182055081748,0.004118053390628567,0.0019485219329057801,0.006453177299373756,0.013781853939927587,0.010467414446441824,0.01674990308734645,0.4629213257356233,0.4555143895568539,0.47068124389873345,45.766666666666666,44.44188888888889,47.0245,6.061077102954142,5.625108801004422,6.539478975868926,0.01706338263883642,-0.002806432431120871,0.04358716782302447,0.007081750576867318,0.0028584077578175894,0.011662328239078
C1_p9__lamarckian,C1_p9,C1,lamarckian,0.0,9.0,30,0,4.5,0.06690375362969372,0.0644594135206798,0.06961219938713732,0.06615688981865987,0.0640310783158752,0.06846016518112787,0.06764635190954078,0.06452724886204332,0.07104994074989025,-0.0014894620908809208,-0.0036401067832863405,0.0005047793434475755,0.004903684950325488,0.0026618440261782996,0.007081182689067413,0.47143100410419997,0.4632978616108617,0.47960534017718526,49.66222222222222,49.23111111111111,50.0,4.279999999999999,4.0693230769230775,4.52135,0.0017886619139996366,-0.02092323391527853,0.023269985284244118,-0.0003671830000442923,-0.0028762819706729115,0.002211996952489476
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,30,0,3.0,0.10716878414779368,0.10446713786860386,0.11002980055188123,0.14927377007179563,0.14458470417967909,0.15394850886824746,0.0706794386974951,0.06863865193214036,0.07308934050366525,0.07859433137430052,0.0740809920502826,0.08316125438269789,0.07859433137430052,0.0740809920502826,0.08316125438269789,0.3517356702726221,0.34629735748434626,0.35740901566921424,48.99333333333333,48.11094444444444,49.70666666666667,4.398298931058809,4.1821115693829976,4.6422985466914035,0.05195391502290518,0.02558094624778498,0.08143586657939747,0.05720189009034012,0.05039153745068221,0.06463536358341804
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,30,0,3.0,0.18275363390423893,0.17697855016595734,0.18852389352142948,0.40092580968768793,0.38547770680550797,0.41647551199953475,0.042183991384125694,0.04067246473844741,0.04363200995581157,0.3587418183035623,0.3430601273316598,0.3749230576863179,0.3587418183035623,0.3430601273316598,0.3749230576863179,0.14088199802888204,0.13475542513255798,0.14694412989641842,41.55777777777778,40.655333333333324,42.4911111111111,4.776061111470202,4.651046528928197,4.89997721740786,0.49379357908047605,0.45123229066369497,0.5367204384900527,0.3591127656787872,0.3343021927454574,0.384347584199336
