cell_id,condition,family,inheritance_mode,n_agents,share_conditional,share_cooperative,share_defector,share_mixed,fitness_conditional,fitness_conditional_lo,fitness_conditional_hi,n_seeds_conditional,offspring_rate_conditional,fitness_cooperative,fitness_cooperative_lo,fitness_cooperative_hi,n_seeds_cooperative,offspring_rate_cooperative,fitness_defector,fitness_defector_lo,fitness_defector_hi,n_seeds_defector,offspring_rate_defector,fitness_mixed,fitness_mixed_lo,fitness_mixed_hi,n_seeds_mixed,offspring_rate_mixed,cost_mean_diff,cost_ci_lo,cost_ci_hi,cost_n_pairs,cost_relative
C1__baldwinian,C1,C1,baldwinian,6752,0.02177132701421801,0.7513329383886256,0.009922985781990521,0.21697274881516587,0.10325772741605375,0.0904245128033281,0.11755871488481094,30,0.2440221913754866,0.13618957417706726,0.1292278435975346,0.14326194107129514,30,0.6942089825290622,0.23079315131907083,0.20320679643038528,0.25824449492701046,27,0.5718915753614617,0.12242061080031567,0.11567125525190422,0.12961372326078469,30,0.3202274108902351,-0.03293184676101351,-0.0492593957549215,-0.0165241431773885,30,-0.24180886796956336
C1__lamarckian,C1,C1,lamarckian,7614,0.01155765694772787,0.7915681639085894,0.0031520882584712374,0.19372209088521145,0.07380989770074688,0.042706215106102674,0.10352222351914905,30,0.14740820833669177,0.1500071154816757,0.14051624337854385,0.15985660719311293,30,0.45838530990369963,0.20817920739846213,0.15317132272829645,0.27711493162635176,16,0.579680148666426,0.10258773182871526,0.09662935006094141,0.10844543451870449,30,0.24293503438556374,-0.07619721778092879,-0.10567859741867805,-0.0480631860418951,30,-0.507957356131128
C1_p3__baldwinian,C1_p3,C1,baldwinian,6482,0.020672631903733415,0.6630669546436285,0.008947855600123419,0.30731255785251466,0.12656832916730423,0.10716458206950034,0.1505530643407451,30,0.20488198836849844,0.10973109295469488,0.10602428185519945,0.1140436722304799,30,0.4426777823638076,0.2371598360062546,0.21068551724486226,0.2629070872962544,23,0.5702393818324123,0.17184134346141638,0.16757924882716824,0.17613506155610614,30,0.46655268117315934,0.01683723621260939,-0.0033428863294912804,0.041800844016408115,30,0.15344088680098217
C1_p3__lamarckian,C1_p3,C1,lamarckian,6289,0.019716966131340434,0.5911909683574496,0.003657179201780887,0.3854348863094292,0.11161189642527666,0.09667520438137966,0.1267543210958551,30,0.15138067719519077,0.10979896869239261,0.10738523241790698,0.11234556458351386,30,0.35161594986814404,0.22271437027078508,0.18786756122204815,0.26080531299989446,14,0.6123259843601432,0.13868340486102754,0.13499793126653514,0.1426336639664004,30,0.3150072036476908,0.0018129277328840555,-0.013648938790971194,0.017076091639911604,30,0.01651133662250567
C1_p9__baldwinian,C1_p9,C1,baldwinian,6445,0.020636152055857254,0.7712955779674167,0.00822342901474011,0.19984484096198604,0.10277108314858077,0.07536674391966791,0.13289723262065503,30,0.3815398280634714,0.13056626726546852,0.12440503305668983,0.13715799768949496,30,1.0082069005964818,0.24659799315052744,0.21738962608505671,0.27566016449249436,27,0.8098439511459903,0.11646050308733621,0.10559115851918517,0.12735842655983137,30,0.5436070642412549,-0.027795184116887743,-0.05793448578657203,0.00413617839173605,30,-0.21288181625330777
C1_p9__lamarckian,C1_p9,C1,lamarckian,7724,0.01579492490937338,0.8230191610564475,0.0014241325737959607,0.15976178146038322,0.061557853004287816,0.029061476223757637,0.09382974969926137,29,0.25807984984227544,0.15865596866008927,0.1474386804584866,0.1702310558233315,30,0.6150429255639395,0.24844784806644943,0.17679310567848883,0.33106540732422596,11,1.1139767490573942,0.06792430168186417,0.05782120898414677,0.0779001396528549,30,0.2957237944483755,-0.09803329711152785,-0.13503782093066624,-0.06015503642500946,29,-0.6178985760161233
C2__baldwinian,C2,C2,baldwinian,4812,0.11305070656691604,0.7090606816292602,0.0008312551953449709,0.1770573566084788,0.2951220491408584,0.2801757893122383,0.3116876686937575,30,1.0642355861093031,0.15069649385933237,0.14230475681743568,0.1595504322224643,30,0.6808442326836115,0.14481292653460956,0.134078338274827,0.15674774287750312,4,0.0,0.20194325609137947,0.18646977875583612,0.21830196868654528,30,0.6865671700727142,0.14442555528152604,0.12666373616519735,0.16300207116055912,30,0.9583869643068144
C2__lamarckian,C2,C2,lamarckian,4612,0.42129228100607113,0.38399826539462273,0.0004336513443191674,0.194275802254987,0.19038196810691144,0.1859992222431625,0.19468262924237983,30,0.47461993773713285,0.13187183471343467,0.1237577536341004,0.14036712503101523,30,0.459354739056535,0.1731973192146597,0.16787591095723084,0.17851872747208852,2,0.0,0.163317708801662,0.15601625099108762,0.17075750422201372,30,0.4448573125528607,0.0585101333934768,0.049522016787353254,0.06737034231537928,30,0.4436893861424071
C2_p3__baldwinian,C2_p3,C2,baldwinian,4887,0.13136893799877225,0.6046654389195826,0.0010231225700838961,0.26294250051156126,0.27513323490921504,0.2625686470360627,0.2877432325441913,30,0.88904791029092,0.12406905529278277,0.11866727422744085,0.13043599145432785,30,0.45414574178349765,0.28121791615248776,0.17143739993141796,0.4532141667757964,5,0.5956069364161849,0.19647314441669594,0.18826880826582373,0.204889252797571,30,0.5275850285151257,0.15106417961643223,0.13964414539555037,0.16235193063253375,30,1.2175814449456825
C2_p3__lamarckian,C2_p3,C2,lamarckian,4343,0.4766290582546627,0.2615703430808197,0.00023025558369790466,0.2615703430808197,0.17705826323675602,0.17377459658335886,0.18037962877910863,30,0.37641193546460244,0.11071864993768211,0.10678764365840387,0.11486665498376784,30,0.3392294741467926,0.12582569682773775,0.12582569682773775,0.12582569682773775,1,0.21691973969631237,0.1559425638528533,0.15218080391230943,0.15968863197838323,30,0.3451873604984088,0.06633961329907394,0.061292050153418993,0.0709519293199063,30,0.5991728885459958
