run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,750,train,33,2.212121212121212,1,9,37.19910487279054,1.0,0.0,272.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,800,train,29,2.3448275862068964,5,9,36.69551748077537,0.9791666666666666,0.0,256.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,850,train,33,2.484848484848485,5,1,37.39889667612242,0.9583333333333334,0.0,248.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,900,train,36,2.6944444444444446,5,2,39.544636549305054,0.9583333333333334,0.0,241.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,950,train,38,2.8421052631578947,4,2,40.2619191970485,1.0,0.0,248.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1000,train,36,3.0,2,4,30.19851417889685,0.9791666666666666,0.0,219.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1050,train,38,3.1052631578947367,5,3,53.56840604869134,0.9375,0.0,228.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1100,train,33,3.393939393939394,2,7,32.12254115140861,0.9791666666666666,0.0,266.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1150,train,30,3.6,2,5,50.9049245533038,0.9791666666666666,0.0,235.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1200,train,29,3.9310344827586206,4,5,49.432578556429064,0.9375,0.0,287.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1250,train,34,4.264705882352941,7,2,61.44812697992637,0.9166666666666666,0.0,260.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s1,C0__lamarckian,C0,C0,lamarckian,1,1300,train,35,4.4,7,6,52.77053202085207,0.9166666666666666,0.0,239.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
