cell_id,condition,family,inheritance_mode,n_agents,share_conditional,share_cooperative,share_defector,share_mixed,fitness_conditional,fitness_conditional_lo,fitness_conditional_hi,n_seeds_conditional,offspring_rate_conditional,fitness_cooperative,fitness_cooperative_lo,fitness_cooperative_hi,n_seeds_cooperative,offspring_rate_cooperative,fitness_defector,fitness_defector_lo,fitness_defector_hi,n_seeds_defector,offspring_rate_defector,fitness_mixed,fitness_mixed_lo,fitness_mixed_hi,n_seeds_mixed,offspring_rate_mixed,cost_mean_diff,cost_ci_lo,cost_ci_hi,cost_n_pairs,cost_relative
C1__baldwinian,C1,C1,baldwinian,6752,0.02177132701421801,0.7513329383886256,0.009922985781990521,0.21697274881516587,0.10325772741605375,0.0904245128033281,0.11755871488481094,30,0.2440221913754866,0.13618957417706726,0.1292278435975346,0.14326194107129514,30,0.6942089825290622,0.23079315131907083,0.20320679643038528,0.25824449492701046,27,0.5718915753614617,0.12242061080031567,0.11567125525190422,0.12961372326078469,30,0.3202274108902351,-0.03293184676101351,-0.0492593957549215,-0.0165241431773885,30,-0.24180886796956336
C1__lamarckian,C1,C1,lamarckian,7614,0.01155765694772787,0.7915681639085894,0.0031520882584712374,0.19372209088521145,0.07380989770074688,0.042706215106102674,0.10352222351914905,30,0.14740820833669177,0.1500071154816757,0.14051624337854385,0.15985660719311293,30,0.45838530990369963,0.20817920739846213,0.15317132272829645,0.27711493162635176,16,0.579680148666426,0.10258773182871526,0.09662935006094141,0.10844543451870449,30,0.24293503438556374,-0.07619721778092879,-0.10567859741867805,-0.0480631860418951,30,-0.507957356131128
C2__baldwinian,C2,C2,baldwinian,4812,0.11305070656691604,0.7090606816292602,0.0008312551953449709,0.1770573566084788,0.2951220491408584,0.2801757893122383,0.3116876686937575,30,1.0642355861093031,0.15069649385933237,0.14230475681743568,0.1595504322224643,30,0.6808442326836115,0.14481292653460956,0.134078338274827,0.15674774287750312,4,0.0,0.20194325609137947,0.18646977875583612,0.21830196868654528,30,0.6865671700727142,0.14442555528152604,0.12666373616519735,0.16300207116055912,30,0.9583869643068144
C2__lamarckian,C2,C2,lamarckian,4612,0.42129228100607113,0.38399826539462273,0.0004336513443191674,0.194275802254987,0.19038196810691144,0.1859992222431625,0.19468262924237983,30,0.47461993773713285,0.13187183471343467,0.1237577536341004,0.14036712503101523,30,0.459354739056535,0.1731973192146597,0.16787591095723084,0.17851872747208852,2,0.0,0.163317708801662,0.15601625099108762,0.17075750422201372,30,0.4448573125528607,0.0585101333934768,0.049522016787353254,0.06737034231537928,30,0.4436893861424071
C3_f0.7__baldwinian,C3_f0.7,C3,baldwinian,5720,0.06101398601398601,0.7396853146853147,0.002972027972027972,0.19632867132867132,0.18226855348090637,0.16808576537670836,0.19639655809300086,30,0.5325036212825032,0.1533989625184842,0.14667061335532086,0.16048405122046638,30,0.7455524833710298,0.28030201315600217,0.23282297135295274,0.3284938895104937,13,0.8154321388041759,0.15216935697224374,0.14211947452649326,0.16298011369983276,30,0.4554522187388412,0.028869590962422195,0.015329595280461744,0.042647408222254685,30,0.18819938862978608
C3_f0.7__lamarckian,C3_f0.7,C3,lamarckian,6391,0.13268659051791581,0.6565482710061024,0.00031294007197621654,0.21045219840400564,0.1466980923735977,0.13792001186602054,0.15557412641399893,30,0.3675506881547034,0.131231033668703,0.12485499970136679,0.13834561765799727,30,0.5221870216000205,0.2643707651767657,0.12369668708983232,0.4050448432636991,2,1.1494252873563218,0.14717341155793845,0.14125987808931745,0.15316894447767343,30,0.4507412341962086,0.015467058704894683,0.005700563981899995,0.025376483823066176,30,0.11786128838961807
C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,5268,0.08618071374335612,0.7186788154897494,0.0017084282460136675,0.19343204252088078,0.23145986381210917,0.21670351006827052,0.24797245699315354,30,0.7202361827421914,0.15781298662927723,0.1495599798330715,0.16546654016609402,30,0.7058953543402516,0.2539573597713307,0.20251049107984653,0.32812288870627004,8,0.542166624871697,0.18142998473380975,0.16941277555150594,0.19341526312758092,30,0.5861229708645699,0.07364687718283194,0.057347034319713594,0.09108765681041374,30,0.46667184213323215
C3_f0.9__lamarckian,C3_f0.9,C3,lamarckian,5354,0.27045199850579005,0.5013074336944341,0.0,0.22824056779977586,0.1752551046275608,0.16885180008416853,0.1817740596256422,30,0.45814388826879954,0.12561913204422565,0.12101828267719641,0.1304379543236913,30,0.4838289602329316,,,,0,,0.15817065419921128,0.15124500105705657,0.1650675292751363,30,0.48368070682384184,0.04963597258333523,0.043390161143145534,0.05569910979214512,30,0.39513067616054154
