run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
A_f0.7_blind__lamarckian__s7,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,7,0.05993114113623804,300.0,1.1304347826086956,,
A_f0.7_blind__lamarckian__s8,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,8,0.05993114113623804,800.0,2.08,,
A_f0.7_blind__lamarckian__s9,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,9,0.05993114113623804,150.0,1.26,,
A_f0.7_blind__lamarckian__s10,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,10,0.05993114113623804,50.0,0.8,,
A_f0.7_blind__lamarckian__s11,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,11,0.05993114113623804,400.0,0.96,,
A_f0.7_blind__lamarckian__s12,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,12,0.05993114113623804,200.0,0.86,,
A_f0.7_blind__lamarckian__s13,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,13,0.05993114113623804,400.0,1.04,,
A_f0.7_blind__lamarckian__s14,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,14,0.05993114113623804,50.0,0.78,,
A_f0.7_blind__lamarckian__s15,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,15,0.05993114113623804,700.0,2.44,,
A_f0.7_blind__lamarckian__s16,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,16,0.05993114113623804,650.0,1.86,,
A_f0.7_blind__lamarckian__s17,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,17,0.05993114113623804,100.0,0.82,,
A_f0.7_blind__lamarckian__s18,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,18,0.05993114113623804,100.0,0.9,,
A_f0.7_blind__lamarckian__s19,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,19,0.05993114113623804,300.0,1.46,,
A_f0.7_blind__lamarckian__s20,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,20,0.05993114113623804,500.0,1.3,,
A_f0.7_blind__lamarckian__s21,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,21,0.05993114113623804,250.0,1.1,,
A_f0.7_blind__lamarckian__s22,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,22,0.05993114113623804,250.0,0.94,,
A_f0.7_blind__lamarckian__s23,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,23,0.05993114113623804,400.0,0.88,,
A_f0.7_blind__lamarckian__s24,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,24,0.05993114113623804,550.0,1.62,,
A_f0.7_blind__lamarckian__s25,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,25,0.05993114113623804,50.0,0.84,,
A_f0.7_blind__lamarckian__s26,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,26,0.05993114113623804,100.0,0.979591836734694,,
A_f0.7_blind__lamarckian__s27,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,27,0.05993114113623804,350.0,0.88,,
A_f0.7_blind__lamarckian__s28,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,28,0.05993114113623804,150.0,1.16,,
A_f0.7_blind__lamarckian__s29,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,29,0.05993114113623804,550.0,1.54,,
A_f0.7_blind__lamarckian__s30,A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,30,0.05993114113623804,300.0,0.86,,
A_f0.7_cells__baldwinian__s1,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,1,0.06759172986669647,1350.0,3.32,,
A_f0.7_cells__baldwinian__s2,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,2,0.06759172986669647,350.0,1.42,,
A_f0.7_cells__baldwinian__s3,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,3,0.06759172986669647,1450.0,3.86,,
A_f0.7_cells__baldwinian__s4,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,4,0.06759172986669647,300.0,1.1875,,
A_f0.7_cells__baldwinian__s5,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,5,0.06759172986669647,900.0,2.2,,
A_f0.7_cells__baldwinian__s6,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,6,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s7,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,7,0.06759172986669647,150.0,0.9090909090909092,,
A_f0.7_cells__baldwinian__s8,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,8,0.06759172986669647,500.0,1.6511627906976745,,
A_f0.7_cells__baldwinian__s9,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,9,0.06759172986669647,50.0,0.75,,
A_f0.7_cells__baldwinian__s10,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,10,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s11,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,11,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s12,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,12,0.06759172986669647,400.0,0.84,,
A_f0.7_cells__baldwinian__s13,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,13,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s14,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,14,0.06759172986669647,500.0,1.346938775510204,,
A_f0.7_cells__baldwinian__s15,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,15,0.06759172986669647,1100.0,3.18,,
A_f0.7_cells__baldwinian__s16,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,16,0.06759172986669647,450.0,0.96,,
A_f0.7_cells__baldwinian__s17,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,17,0.06759172986669647,250.0,0.82,,
A_f0.7_cells__baldwinian__s18,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,18,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s19,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,19,0.06759172986669647,1150.0,3.28,,
A_f0.7_cells__baldwinian__s20,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,20,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s21,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,21,0.06759172986669647,,,,
A_f0.7_cells__baldwinian__s22,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,22,0.06759172986669647,1400.0,3.56,,
A_f0.7_cells__baldwinian__s23,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,23,0.06759172986669647,450.0,1.38,,
A_f0.7_cells__baldwinian__s24,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,24,0.06759172986669647,500.0,1.34,,
A_f0.7_cells__baldwinian__s25,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,25,0.06759172986669647,600.0,1.88,,
A_f0.7_cells__baldwinian__s26,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,26,0.06759172986669647,1100.0,2.98,,
A_f0.7_cells__baldwinian__s27,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,27,0.06759172986669647,400.0,1.1,,
A_f0.7_cells__baldwinian__s28,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,28,0.06759172986669647,400.0,0.98,,
A_f0.7_cells__baldwinian__s29,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,29,0.06759172986669647,150.0,0.8297872340425532,,
A_f0.7_cells__baldwinian__s30,A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,30,0.06759172986669647,,,,
A_f0.7_cells__lamarckian__s1,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,1,0.05993114113623804,150.0,0.86,,
A_f0.7_cells__lamarckian__s2,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,2,0.05993114113623804,350.0,1.38,,
A_f0.7_cells__lamarckian__s3,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,3,0.05993114113623804,250.0,1.02,,
A_f0.7_cells__lamarckian__s4,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,4,0.05993114113623804,450.0,1.12,,
A_f0.7_cells__lamarckian__s5,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,5,0.05993114113623804,50.0,0.76,,
A_f0.7_cells__lamarckian__s6,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,6,0.05993114113623804,400.0,1.44,,
A_f0.7_cells__lamarckian__s7,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,7,0.05993114113623804,250.0,1.34,,
A_f0.7_cells__lamarckian__s8,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,8,0.05993114113623804,150.0,0.9,,
A_f0.7_cells__lamarckian__s9,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,9,0.05993114113623804,50.0,0.88,,
A_f0.7_cells__lamarckian__s10,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,10,0.05993114113623804,550.0,1.82,,
A_f0.7_cells__lamarckian__s11,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,11,0.05993114113623804,150.0,0.98,,
A_f0.7_cells__lamarckian__s12,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,12,0.05993114113623804,200.0,0.9787234042553192,,
A_f0.7_cells__lamarckian__s13,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,13,0.05993114113623804,400.0,1.08,,
A_f0.7_cells__lamarckian__s14,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,14,0.05993114113623804,550.0,1.72,,
A_f0.7_cells__lamarckian__s15,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,15,0.05993114113623804,250.0,1.04,,
A_f0.7_cells__lamarckian__s16,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,16,0.05993114113623804,200.0,1.06,,
A_f0.7_cells__lamarckian__s17,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,17,0.05993114113623804,200.0,1.0,,
A_f0.7_cells__lamarckian__s18,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,18,0.05993114113623804,200.0,0.88,,
A_f0.7_cells__lamarckian__s19,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,19,0.05993114113623804,100.0,0.84,,
A_f0.7_cells__lamarckian__s20,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,20,0.05993114113623804,200.0,1.04,,
A_f0.7_cells__lamarckian__s21,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,21,0.05993114113623804,350.0,0.92,,
A_f0.7_cells__lamarckian__s22,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,22,0.05993114113623804,200.0,1.06,,
A_f0.7_cells__lamarckian__s23,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,23,0.05993114113623804,650.0,2.02,,
A_f0.7_cells__lamarckian__s24,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,24,0.05993114113623804,200.0,0.74,,
A_f0.7_cells__lamarckian__s25,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,25,0.05993114113623804,250.0,1.04,,
A_f0.7_cells__lamarckian__s26,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,26,0.05993114113623804,200.0,1.16,,
A_f0.7_cells__lamarckian__s27,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,27,0.05993114113623804,450.0,0.84,,
A_f0.7_cells__lamarckian__s28,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,28,0.05993114113623804,500.0,1.52,,
A_f0.7_cells__lamarckian__s29,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,29,0.05993114113623804,400.0,0.78,,
A_f0.7_cells__lamarckian__s30,A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,30,0.05993114113623804,650.0,1.96,,
A_f0.7_move__baldwinian__s1,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,1,0.06759172986669647,,,,
A_f0.7_move__baldwinian__s2,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,2,0.06759172986669647,,,,
A_f0.7_move__baldwinian__s3,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,3,0.06759172986669647,150.0,0.8780487804878049,,
A_f0.7_move__baldwinian__s4,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,4,0.06759172986669647,350.0,1.44,,
A_f0.7_move__baldwinian__s5,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,5,0.06759172986669647,200.0,1.16,,
A_f0.7_move__baldwinian__s6,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,6,0.06759172986669647,1000.0,2.4,,
A_f0.7_move__baldwinian__s7,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,7,0.06759172986669647,250.0,1.0232558139534884,,
A_f0.7_move__baldwinian__s8,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,8,0.06759172986669647,250.0,1.135135135135135,,
A_f0.7_move__baldwinian__s9,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,9,0.06759172986669647,1250.0,4.92,,
A_f0.7_move__baldwinian__s10,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,10,0.06759172986669647,50.0,0.74,,
A_f0.7_move__baldwinian__s11,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,11,0.06759172986669647,1350.0,4.26,,
A_f0.7_move__baldwinian__s12,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,12,0.06759172986669647,450.0,0.9,,
A_f0.7_move__baldwinian__s13,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,13,0.06759172986669647,1450.0,5.28,,
A_f0.7_move__baldwinian__s14,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,14,0.06759172986669647,400.0,1.42,,
A_f0.7_move__baldwinian__s15,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,15,0.06759172986669647,400.0,1.38,,
A_f0.7_move__baldwinian__s16,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,16,0.06759172986669647,50.0,0.8125,,
A_f0.7_move__baldwinian__s17,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,17,0.06759172986669647,1050.0,3.4,,
A_f0.7_move__baldwinian__s18,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,18,0.06759172986669647,550.0,2.020408163265306,,
A_f0.7_move__baldwinian__s19,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,19,0.06759172986669647,,,,
A_f0.7_move__baldwinian__s20,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,20,0.06759172986669647,600.0,3.2127659574468086,,
A_f0.7_move__baldwinian__s21,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,21,0.06759172986669647,800.0,2.953488372093023,,
A_f0.7_move__baldwinian__s22,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,22,0.06759172986669647,350.0,0.74,,
A_f0.7_move__baldwinian__s23,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,23,0.06759172986669647,300.0,1.3,,
A_f0.7_move__baldwinian__s24,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,24,0.06759172986669647,800.0,2.46,,
A_f0.7_move__baldwinian__s25,A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,25,0.06759172986669647,900.0,2.98,,
