cell_id,condition,family,inheritance_mode,fidelity,penalty,monitor_policy,n_runs,n_extinct,expected_penalty_per_defection,rate_mean,rate_lo,rate_hi,rate_cue0_mean,rate_cue0_lo,rate_cue0_hi,rate_cue1_mean,rate_cue1_lo,rate_cue1_hi,delta_cue_mean,delta_cue_lo,delta_cue_hi,delta_true_mean,delta_true_lo,delta_true_hi,realised_enforcement_mean,realised_enforcement_lo,realised_enforcement_hi,population_late_mean,population_late_lo,population_late_hi,mean_generation_end_mean,mean_generation_end_lo,mean_generation_end_hi,eval_heldout_delta_cue_mean,eval_heldout_delta_cue_lo,eval_heldout_delta_cue_hi,eval_train_delta_cue_mean,eval_train_delta_cue_lo,eval_train_delta_cue_hi,mean_mask_overlap_mean,mean_mask_overlap_lo,mean_mask_overlap_hi,mean_weight_kl_mean,mean_weight_kl_lo,mean_weight_kl_hi,mean_weight_gini_mean,mean_weight_gini_lo,mean_weight_gini_hi
A_f0.7_blind__baldwinian,A_f0.7_blind,A,baldwinian,0.7,6.0,adaptive_blind,30,0,3.0,0.09317773487549327,0.09060587310689655,0.09577752658736778,0.12407389513861761,0.12032572776659145,0.1277685377985479,0.07100329364270408,0.06874474695887789,0.07326432655930151,0.05307060149591352,0.050071768500118734,0.05618447812287478,0.04589448366204556,0.042793843367920865,0.048924642881582936,0.5014042267616733,0.4928519729786053,0.5092672673568076,48.98666666666667,48.364444444444445,49.48233333333334,4.476184318464806,4.251388888888889,4.715004409287336,0.027674013927996195,0.009822256814691342,0.04562274191928833,0.023658153516056154,0.018713357239011966,0.02898825629855006,0.582800469483568,0.5815233714788732,0.5841088468309859,0.7210601632357171,0.716018178288822,0.7261060586938336,0.4834445113432326,0.48107240921192396,0.4858786240024826
A_f0.7_blind__lamarckian,A_f0.7_blind,A,lamarckian,0.7,6.0,adaptive_blind,30,0,3.0,0.08531859683496618,0.08121341742126009,0.09000169104197411,0.1434691316726631,0.13606558741973995,0.15166140668055353,0.045043371925819725,0.043296047518778594,0.04688647093456432,0.09842575974684338,0.09165910300100559,0.10574874086432146,0.06249670191024915,0.05735440293801052,0.06789202592364278,0.46370389344587454,0.4518173012251279,0.47604438775218016,48.56444444444445,47.942166666666665,49.11561111111111,4.220711999763865,4.033630557148779,4.434980933667459,0.16593031982150544,0.13007440712221682,0.20444552033106256,0.06714259668516621,0.058192109188075374,0.07782680737639848,0.5879841549295775,0.5866675176056336,0.5892910798122065,0.7127601138336451,0.7046135252433661,0.7203416146391283,0.48499890184550837,0.481743324645498,0.4882497252136745
A_f0.7_cells__baldwinian,A_f0.7_cells,A,baldwinian,0.7,6.0,adaptive_cells,30,0,3.0,0.09772654603217794,0.09532992616684391,0.09993540483089443,0.12047413992090153,0.11700123320040534,0.1238199748281075,0.07691338476671608,0.07485099632013902,0.07885406431938032,0.043560755154185456,0.04023414808064661,0.04681140829290648,0.030109936942804248,0.027118430711596645,0.03306959335657458,0.4548477096356183,0.4475923348146258,0.4625277570449478,49.24444444444445,48.70877777777778,49.69555555555556,4.412209303923589,4.187480639730639,4.652432886690029,0.03184364647221395,0.009612258323203369,0.05774121412368894,0.026045059509403126,0.02017609400360378,0.03195238266790267,0.5115340375586854,0.5103097711267605,0.5128158303990611,0.023578814894271594,0.02304432945084254,0.02414432112226301,0.043794681137082916,0.0429794626446406,0.04461327426647169
A_f0.7_cells__lamarckian,A_f0.7_cells,A,lamarckian,0.7,6.0,adaptive_cells,30,0,3.0,0.1046735790070922,0.10086676219024379,0.1087910889496942,0.16585778413808236,0.15849943802847566,0.1739120825786917,0.05066563166694295,0.04911964531040323,0.05217173849623131,0.11519215247113945,0.10788620553696418,0.12324863987627532,0.06505347306329566,0.05993437043126419,0.07143993416058096,0.39173017301663227,0.3823797494872785,0.39942695187478633,45.75333333333334,44.82883333333333,46.74911111111111,4.8045631584187305,4.5144961245055075,5.107217998815536,0.2326461753805296,0.19201454081894417,0.2789837094167886,0.08407248840014993,0.07085146027887852,0.098448812455334,0.509880868544601,0.5087916226525823,0.5110293720657276,0.02147891653504352,0.02107962503522436,0.021908662259612566,0.04211929300031585,0.0414524161458321,0.04282132655942334
A_f0.7_move__baldwinian,A_f0.7_move,A,baldwinian,0.7,6.0,adaptive_move,30,0,3.0,0.09916991287300377,0.09665979009752534,0.1016353049591347,0.12391348185351485,0.12038952711897571,0.12747904427983367,0.07671364790432832,0.07476483126911834,0.07869981650269128,0.047199833949186525,0.04441109175538724,0.049877448770743564,0.0314226191548213,0.029274995812638205,0.03372737169186951,0.45680645880102383,0.45019901843934845,0.4635163927475104,48.78,47.96222222222223,49.47338888888889,4.784540411656445,4.496712406765994,5.107683461583269,0.04459015816103248,0.025086165209585842,0.07023636194174208,0.02691965129301365,0.019787606018545307,0.03451464848348597,0.5379507042253521,0.5370819982394367,0.5389209213615024,0.07179211403472649,0.0707565150278071,0.07289848199248135,0.13132908115286465,0.13004453269689292,0.1327664382556824
A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,0.7,6.0,adaptive_move,30,0,3.0,0.10745144242685743,0.1040719861082409,0.11103815137722471,0.17282325374709553,0.16663432964393163,0.17938195123485978,0.050281418051431596,0.048949515942328874,0.05166482393394102,0.12254183569566397,0.11654998276650462,0.12875343787444116,0.06944513272237367,0.06486981189961775,0.07408593974934385,0.38869508720002083,0.38147469615750357,0.3958264598571593,45.29555555555555,44.242111111111114,46.23127777777777,4.744980805748098,4.52086811392966,4.9754070772979215,0.24713480825747214,0.19716948607963208,0.29759409730819536,0.09275699466883952,0.07816409260689748,0.10821940592031092,0.5445093896713615,0.5430761296948357,0.546028213028169,0.08498063649251236,0.08343105908380885,0.0864987751778156,0.1498270206828436,0.14785291058277666,0.15176644722153732
A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,0.9,6.0,adaptive_blind,30,0,3.0,0.09482929310895788,0.09181274982003626,0.0980444148539483,0.1397032918801097,0.13552505372672785,0.14383934032318463,0.0667686224293564,0.06428656359634158,0.06952093757592136,0.07293466945075332,0.06956538797551744,0.0764877555143568,0.06473350089418352,0.06128807523473068,0.06853419240694618,0.46926168014639885,0.4580120101400907,0.4802544047478048,49.242222222222225,48.53555555555556,49.80222222222222,4.351914074447839,4.104448481344434,4.644325530591141,0.05542716744442095,0.03175012602574214,0.08552773290755877,0.03439172506931535,0.02866543752500747,0.04011771414988331,0.5828532863849766,0.5814605046948358,0.5843369278169015,0.7258474511933747,0.7192061431369704,0.7318648734096367,0.4842740459517729,0.4814280943968628,0.48692044211911795
A_f0.9_blind__lamarckian,A_f0.9_blind,A,lamarckian,0.9,6.0,adaptive_blind,30,0,3.0,0.11243510529090832,0.10819295254673575,0.11683178090893263,0.23966651940659459,0.22913690296515574,0.25095142757421335,0.041204135782773384,0.04016260355021038,0.04229105191052673,0.1984623836238212,0.18801432551010935,0.2096824142852118,0.16594347788132952,0.15705638297964575,0.17522712713636618,0.3258917565023184,0.31634040352129517,0.3354039615772426,45.866666666666674,44.79083333333334,46.85999999999999,4.570406092101406,4.346310692893084,4.828248208956354,0.33220131897823774,0.2932602902760305,0.373168430089542,0.19473232541357327,0.17358731791647444,0.2177938674240043,0.5850451877934273,0.5832317928403756,0.5868187353286385,0.6943567987337131,0.6866201362266103,0.7018850795898608,0.4727193789538806,0.46898520677383965,0.47625558371651283
A_f0.9_cells__baldwinian,A_f0.9_cells,A,baldwinian,0.9,6.0,adaptive_cells,30,0,3.0,0.10206035748966526,0.09878231253380768,0.10514146194072603,0.13864191050449237,0.13378401733844467,0.14347165935459905,0.07072632538655826,0.068092777388087,0.07347109742245006,0.06791558511793411,0.06357088094797018,0.07253551252389394,0.05709119648828252,0.052890843364755594,0.061376823513037373,0.4031281870992574,0.39624197388097393,0.4102889915446479,48.89777777777778,48.313277777777785,49.40455555555556,4.602393178893179,4.319353603603604,4.8826047940797945,0.07136409090646752,0.04294213268764938,0.1085828579793915,0.037650089166655375,0.029554423092445378,0.046389218486584796,0.5089019953051643,0.5077521566901408,0.5099319542253521,0.021091965348247445,0.020605948555590156,0.021605915488489842,0.0400103002148237,0.039240679415911,0.04079392024136338
A_f0.9_cells__lamarckian,A_f0.9_cells,A,lamarckian,0.9,6.0,adaptive_cells,30,0,3.0,0.14337256219614886,0.1379173813656875,0.14903594634040007,0.27353756592576584,0.2612710593198608,0.2860192360707928,0.04482617487525124,0.043354346245598585,0.046351636339664964,0.2287113910505146,0.21651492941104158,0.24109411248683107,0.18955668476916376,0.17869449660387077,0.20070306325803186,0.2558163470897283,0.24880667653936184,0.26283230001671487,42.03333333333333,40.906277777777774,43.15344444444444,5.046409496314443,4.810516099746147,5.292661695886946,0.3867200506350589,0.3480198800707923,0.43037259871951467,0.24280829859459058,0.22572337063802322,0.25984520871100936,0.5073738262910799,0.5060918720657277,0.5085995598591547,0.01597154013141615,0.015557874318705278,0.01640443983874175,0.03240459798157577,0.03168242302003762,0.033163740020917876
