inheritance_mode,condition,fidelity,delta_cue_mean,delta_cue_lo,delta_cue_hi,delta_true_mean,delta_true_lo,delta_true_hi,rate_mean,realised_enforcement_mean,auc_classifier,auc_classifier_lo,auc_classifier_hi,auc_rank,spearman_fidelity_delta,spearman_fidelity_auc
baldwinian,C1,0.0,0.003621769588570371,0.0017004292911080477,0.005605733280420609,0.011243754832189645,0.009043195445252688,0.013353895703660678,0.09827807357287048,0.46973895405334726,0.7919794707890936,0.7806349952848862,0.8043584900245833,0.7838816587026579,1.0,-1.0
baldwinian,C3_f0.7,0.7,0.046084261932592095,0.04270051662248617,0.04947118671066496,0.03100860366992061,0.02773028816795601,0.03422721393246476,0.10063901109018218,0.4346246108068707,0.7561486277033505,0.7444083151066324,0.7684143008112092,0.7565668699506065,1.0,-1.0
baldwinian,C3_f0.9,0.9,0.06350794170668744,0.05957819900633677,0.0675553122651588,0.052795749214792895,0.04915535400203123,0.05655261346235168,0.10259102745472438,0.3952054772264609,0.7309892699984709,0.7184731207191961,0.7435552745571861,0.7303719126339705,1.0,-1.0
baldwinian,C2,1.0,0.07859433137430052,0.0740809920502826,0.08316125438269789,0.07859433137430052,0.0740809920502826,0.08316125438269789,0.10716878414779368,0.3517356702726221,0.7024012016290146,0.6886118932223256,0.7157851178863536,0.6771536170785601,1.0,-1.0
lamarckian,C1,0.0,-0.0008736676276052814,-0.003477786993339675,0.001682954441460357,0.004586429384777207,0.0025178973756755244,0.0065767543152194415,0.07645265394879379,0.4794076383563572,0.7880760420858675,0.7774247036547509,0.7989013792448673,0.7890106986385622,1.0,-0.7999999999999999
lamarckian,C3_f0.7,0.7,0.12288721346982576,0.11454426876669821,0.13150331756881173,0.07076226079258666,0.06495386195204912,0.07681532631198766,0.11167426002830229,0.37048169287110955,0.7711175181639949,0.7585549019045226,0.7842945160188998,0.7622416676277247,1.0,-0.7999999999999999
lamarckian,C3_f0.9,0.9,0.23079121888144355,0.21749912241732405,0.24341235760673938,0.19047050270215585,0.17832581707469025,0.20203678084678223,0.1497504272878164,0.24719825733914907,0.7469921601095864,0.7318442749640237,0.7628434646273504,0.6444405618394322,1.0,-0.7999999999999999
lamarckian,C2,1.0,0.3587418183035623,0.3430601273316598,0.3749230576863179,0.3587418183035623,0.3430601273316598,0.3749230576863179,0.18275363390423893,0.14088199802888204,0.7528553619875933,0.7380136854944093,0.7672629282938794,0.4458342978926503,1.0,-0.7999999999999999
