run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,50,train,50,0.68,34,4,87.63795137091164,0.8333333333333334,0.5,261.0,16.0,15.0,236.0,110.0,1.0,0.0,0.0,37.0,2.0,4.0,41.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,100,train,50,0.74,14,14,61.491361610093335,0.875,0.5,326.0,15.0,10.0,345.0,115.0,5.0,0.0,0.0,47.0,2.0,3.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,150,train,50,0.84,17,17,85.59754101538968,0.8333333333333334,0.5,303.0,14.0,19.0,447.0,94.0,5.0,0.0,0.0,54.0,1.0,3.0,28.0,16.0,1.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,200,train,50,0.9,16,16,69.79458598964695,0.875,0.5,391.0,13.0,21.0,393.0,124.0,4.0,0.0,0.0,55.0,1.0,5.0,24.0,22.0,2.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,250,train,50,1.0,21,21,50.93463157062509,0.9166666666666666,0.5,341.0,18.0,20.0,385.0,111.0,5.0,0.0,0.0,56.0,4.0,2.0,26.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,300,train,46,0.9565217391304348,14,18,81.67590461655959,0.9166666666666666,0.5,320.0,24.0,9.0,271.0,102.0,5.0,0.0,0.0,53.0,0.0,2.0,33.0,19.0,1.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,350,train,50,1.22,20,16,101.68833290986859,0.7708333333333334,0.5,328.0,15.0,14.0,382.0,136.0,13.0,0.0,0.0,51.0,2.0,3.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,400,train,50,1.2,11,11,106.06285291146787,0.7291666666666666,0.5,459.0,20.0,30.0,428.0,167.0,12.0,0.0,0.0,46.0,2.0,5.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,450,train,50,1.12,9,9,54.562354707491465,0.9166666666666666,0.5,419.0,28.0,24.0,423.0,100.0,5.0,0.0,0.0,71.0,2.0,5.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,500,train,49,1.4489795918367347,22,23,142.0818494620156,0.75,0.5,470.0,18.0,13.0,294.0,135.0,15.0,0.0,0.0,43.0,2.0,5.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,550,train,50,1.8,17,16,78.47761211415153,0.875,0.5,281.0,12.0,14.0,408.0,166.0,10.0,0.0,0.0,64.0,1.0,2.0,26.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,600,train,50,1.86,14,14,57.66296064902021,0.875,0.5,230.0,12.0,17.0,402.0,85.0,5.0,0.0,0.0,58.0,1.0,4.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,650,train,50,1.92,12,12,129.19252637815293,0.6666666666666666,0.5,328.0,20.0,25.0,418.0,94.0,5.0,0.0,0.0,28.0,2.0,6.0,25.0,16.0,1.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,700,train,50,2.06,18,18,91.18542797046152,0.7916666666666666,0.5,426.0,18.0,26.0,544.0,70.0,4.0,0.0,0.0,60.0,0.0,2.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,750,train,50,2.08,18,18,70.82289309036145,0.8541666666666666,0.5,427.0,17.0,21.0,455.0,33.0,2.0,0.0,0.0,68.0,2.0,5.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,800,train,50,2.1,14,14,77.74120221382616,0.8333333333333334,0.5,377.0,20.0,18.0,378.0,104.0,4.0,0.0,0.0,51.0,1.0,5.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,850,train,50,2.18,13,13,88.37836365104121,0.875,0.5,349.0,13.0,20.0,381.0,79.0,3.0,0.0,0.0,52.0,1.0,4.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,900,train,50,2.08,21,21,76.15434335124621,0.7708333333333334,0.5,552.0,17.0,26.0,351.0,80.0,9.0,0.0,0.0,56.0,1.0,5.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,950,train,50,2.06,15,15,74.24035195689228,0.8125,0.5,420.0,16.0,17.0,418.0,82.0,3.0,0.0,0.0,52.0,1.0,3.0,22.0,18.0,1.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,1000,train,50,2.42,23,23,89.66145442710832,0.8541666666666666,0.5,292.0,19.0,16.0,261.0,97.0,7.0,0.0,0.0,54.0,0.0,2.0,30.0,17.0,1.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,1050,train,50,2.88,19,19,86.48052480950187,0.8333333333333334,0.5,252.0,21.0,24.0,407.0,71.0,2.0,0.0,0.0,43.0,4.0,10.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,1100,train,50,2.98,13,13,78.46882625611113,0.9166666666666666,0.5,263.0,14.0,15.0,402.0,74.0,1.0,0.0,0.0,49.0,2.0,6.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.0,0.0,0.0,0.0
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,1150,train,50,3.04,19,19,79.67213077997494,0.8125,0.5,402.0,18.0,19.0,476.0,85.0,3.0,0.0,0.0,48.0,2.0,3.0,41.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0
