run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C3_f0.9__baldwinian__s1,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,1,0.5,0.9,6.0,0,3.0,0.38122827346465815,1800,0,50,624,604,574,0,0
C3_f0.9__baldwinian__s2,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,2,0.5,0.9,6.0,0,3.0,0.38747474747474747,1800,0,50,598,578,548,0,0
C3_f0.9__baldwinian__s3,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,3,0.5,0.9,6.0,0,3.0,0.37858508604206503,1800,0,50,667,647,617,0,0
C3_f0.9__baldwinian__s4,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,4,0.5,0.9,6.0,0,3.0,0.4116457743631217,1800,0,50,558,538,508,0,0
C3_f0.9__baldwinian__s5,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,5,0.5,0.9,6.0,0,3.0,0.39802371541501974,1800,0,50,619,599,569,0,0
C3_f0.9__baldwinian__s6,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,6,0.5,0.9,6.0,0,3.0,0.3969559851912793,1800,0,50,588,568,538,0,0
C3_f0.9__baldwinian__s7,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,7,0.5,0.9,6.0,0,3.0,0.4083710407239819,1800,0,50,690,670,640,0,0
C3_f0.9__baldwinian__s8,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,8,0.5,0.9,6.0,0,3.0,0.39397363465160073,1800,0,50,630,610,580,0,0
C3_f0.9__baldwinian__s9,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,9,0.5,0.9,6.0,0,3.0,0.41379310344827586,1800,0,50,672,652,622,0,0
C3_f0.9__baldwinian__s10,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,10,0.5,0.9,6.0,0,3.0,0.41819665442676457,1800,0,50,605,585,555,0,0
C3_f0.9__baldwinian__s11,C3_f0.9__baldwinian,C3_f0.9,C3,baldwinian,11,0.5,0.9,6.0,0,3.0,0.3912058023572076,1800,0,50,589,569,539,0,0
