cell_id,condition,family,inheritance_mode,fidelity,penalty,n_agents,coef_obs_defect_rate,coef_obs_gather_share,coef_obs_move_share,coef_obs_pass_share,coef_obs_mean_energy,coef_obs_log_ticks
C1__baldwinian,C1,C1,baldwinian,0.0,6.0,5034,1.5165705633686777,0.09096859056812413,-0.007928443277050107,0.056785957440360565,-0.08640625600197276,-0.2292439207334755
C1__lamarckian,C1,C1,lamarckian,0.0,6.0,6286,1.5200712838599924,0.022864601865263824,0.04552252877618194,-0.09416281309907971,-0.11891396010255463,0.0042353304981276214
C2__baldwinian,C2,C2,baldwinian,1.0,6.0,4812,0.8266996976671737,0.0079962947709405,0.4730353628774722,0.05137195618566617,-0.08238596242905821,0.19748043133573837
C2__lamarckian,C2,C2,lamarckian,1.0,6.0,4612,-0.06938343239582845,-0.25145720838565305,1.1058355369519273,0.22329392410636442,-0.3087172602015372,0.5296901400369292
C4__baldwinian,C4,C4,baldwinian,1.0,6.0,5243,1.5282613181610591,0.07965844790766319,0.04284649284968572,0.024957840589021212,-0.12042753336250941,-0.1941123621699796
C4__lamarckian,C4,C4,lamarckian,1.0,6.0,6128,1.3542265564095004,0.057146562741396394,0.06624308406898169,-0.006082309701277752,-0.12627881837711363,-0.022469807555264343
