population,n_voters,n_candidates,paradigm,trial,seed,winner,total_welfare,supporter_welfare,loser_welfare,gap,lambda_winner,lambda_effective,loser_share,majority_welfare,minority_welfare,cluster_0_welfare,cluster_1_welfare,cluster_2_welfare,min_utility,p10_utility,gini_utility,total_welfare_norm,minority_welfare_norm,alloc_public_good,alloc_majority_pork,alloc_minority_pork,alloc_prestige,alloc_periphery_buffer
two_cluster,400,8,latent_match,202,0,1,0.23672373315823236,0.3139022900095785,0.21399477304990713,0.09990751695967134,0.6456153155589764,0.6456153155589764,0.7725,0.3289404041570607,0.144507062159404,0.3289404041570607,0.144507062159404,,0.09800414776186299,0.123937355245183,0.2451628255173024,0.1334139208408409,0.6427949665325857,0.21082449358481994,0.5252743323303813,0.09177996977600282,0.07295848456733293,0.09916271974146301
two_cluster,400,8,random_winner,202,0,0,0.23167851483333393,0.3158451337605606,0.20094189973021703,0.11490323403034358,0.4667427081364239,0.4667427081364239,0.7325,0.15922705985615263,0.30412996981051527,0.15922705985615263,0.30412996981051527,,0.12284491105754385,0.1393146943600905,0.19677511364331646,0.0,-0.0,0.23462642655153032,0.11834286706413033,0.4691728805729535,0.09023110723460291,0.08762671857678297
two_cluster,400,8,utilitarian,202,0,-1,0.26949479587133174,,,,,,,0.483185940528203,0.055803651214460466,0.483185940528203,0.055803651214460466,,0.006331733592361161,0.02483790317381136,0.5023471035309368,1.0,1.0,0.0,1.0,0.0,0.0,0.0
two_cluster,400,8,egalitarian,202,0,-1,0.2,,,,,,,0.20000000000000004,0.19999999999999996,0.20000000000000004,0.19999999999999996,,0.19999999999999993,0.19999999999999996,2.220446049250313e-16,-0.8376951398659044,0.41932715951828087,0.20000000000000012,0.2,0.19999999999999993,0.20000000000000004,0.1999999999999999
two_cluster,400,8,party,203,0,6,0.22396850227815576,0.25299773540518405,0.1946475180644237,0.058350217340760346,0.16937649040945155,0.16937649040945155,0.4975,0.1947799774128704,0.2531570271434411,0.1947799774128704,0.2531570271434411,,0.14986583684776242,0.17722369566844182,0.0962935733164938,0.08241684604494445,0.06472840906165533,0.29793676376378486,0.1646976111540902,0.31782544415786773,0.09929913925519589,0.12024104166906116
two_cluster,400,8,individual,203,0,4,0.23195848383331444,0.2889612301531462,0.2069428901246113,0.08201834002853486,0.20109605178215184,0.20109605178215184,0.695,0.2781272514861315,0.18578971618049736,0.2781272514861315,0.18578971618049736,,0.14044890753164038,0.16454061493995376,0.1343368049068756,0.2662823858388533,0.3837260888743158,0.30079561451975034,0.3656642363822992,0.14972932886116574,0.10159829480144729,0.08221252543533733
two_cluster,400,8,score,203,0,5,0.22729031694588667,0.24984135970041393,0.2233107211656759,0.026530638534738027,0.1550753716259975,0.1550753716259975,0.85,0.19735909117870726,0.2572215427130661,0.19735909117870726,0.2572215427130661,,0.14158628295673198,0.17939798815683813,0.09866412600157903,0.15885848020407828,0.04548211560360135,0.2980629613956176,0.17384466215179573,0.3317331111494537,0.07566860045623251,0.12069066484690033
two_cluster,400,8,latent_match,203,0,5,0.22729031694588667,0.24984135970041393,0.2233107211656759,0.026530638534738027,0.1550753716259975,0.1550753716259975,0.85,0.19735909117870726,0.2572215427130661,0.19735909117870726,0.2572215427130661,,0.14158628295673198,0.17939798815683813,0.09866412600157903,0.15885848020407828,0.04548211560360135,0.2980629613956176,0.17384466215179573,0.3317331111494537,0.07566860045623251,0.12069066484690033
two_cluster,400,8,random_winner,203,0,7,0.2203870313811537,0.2665766696032628,0.21453200681778775,0.052044662785475065,0.5336869839965926,0.5336869839965926,0.8875,0.17394740998411543,0.2668266527781919,0.17394740998411543,0.2668266527781919,,0.11387350000373642,0.147573049911461,0.14473898634397675,0.0,-0.0,0.31504070404022705,0.10570464839749247,0.34400225444820715,0.160120674030079,0.07513171908399431
two_cluster,400,8,utilitarian,203,0,-1,0.26384259985861,,,,,,,0.47204287593636424,0.05564232378085581,0.47204287593636424,0.05564232378085581,,0.007542814927161201,0.02417940861135769,0.504557595588206,1.0,1.0,0.0,1.0,0.0,0.0,0.0
two_cluster,400,8,egalitarian,203,0,-1,0.19999999999999996,,,,,,,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,,0.1999999999999999,0.19999999999999996,0.0,-0.46914658110456053,0.3164375552649785,0.2,0.19999999999999993,0.19999999999999993,0.20000000000000012,0.19999999999999996
two_cluster,400,8,party,204,0,7,0.23321887597385854,0.2904585048139972,0.1736429357524897,0.1168155690615075,0.5338305405643514,0.5338305405643514,0.49,0.17527929244180954,0.2911584595059075,0.17527929244180954,0.2911584595059075,,0.11693436926757625,0.14328381369291496,0.16778842171957686,0.16528982645732432,-1.0471953465140138,0.3233789326224048,0.10925211617591948,0.4016362870986467,0.07835267901261105,0.08737998509041817
two_cluster,400,8,individual,204,0,7,0.23491821226041207,0.3060106562961117,0.20828908373844895,0.09772157255766273,0.5338305405643514,0.5338305405643514,0.7275,0.1752638368102734,0.2945725877105507,0.1752638368102734,0.2945725877105507,,0.11218332102143838,0.14117853445371847,0.17253913361722373,0.21746505377784967,-1.0767737962255823,0.336547217434308,0.10474834619866692,0.4056842602122112,0.0787754817070355,0.07424469444777836
two_cluster,400,8,score,204,0,1,0.22951860133710114,0.2502209294202538,0.22628760215649352,0.023933327263760296,0.2559084967945974,0.2559084967945974,0.865,0.2013856304708584,0.2576515722033439,0.2013856304708584,0.2576515722033439,,0.15476240028673144,0.1872809922146358,0.09039437753813306,0.05167919397165679,-0.7569069561359957,0.27679700587692896,0.19079262987986756,0.3360113614763796,0.07014379217169589,0.12625521059512798
two_cluster,400,8,latent_match,204,0,1,0.22951860133710114,0.2502209294202538,0.22628760215649352,0.023933327263760296,0.2559084967945974,0.2559084967945974,0.865,0.2013856304708584,0.2576515722033439,0.2013856304708584,0.2576515722033439,,0.15476240028673144,0.1872809922146358,0.09039437753813306,0.05167919397165679,-0.7569069561359957,0.27679700587692896,0.19079262987986756,0.3360113614763796,0.07014379217169589,0.12625521059512798
two_cluster,400,8,random_winner,204,0,4,0.22783542075340435,0.27994974219547064,0.2143971366079659,0.06555260558750475,0.3266146697527216,0.3266146697527216,0.795,0.28538616690742685,0.17028467459938182,0.28538616690742685,0.17028467459938182,,0.1257714456831977,0.15532203623750712,0.16379770932702442,0.0,-0.0,0.22508265047492015,0.422022983666017,0.14299933235331352,0.12226873548597594,0.08762629801977338
