population,n_candidates,paradigm,endpoint,family,n_pairs,delta_mean,delta_sd,ci_low,ci_high,pvalue,effect_size,wilcoxon_stat,pvalue_adjusted
two_cluster,8,individual,minority_welfare,primary,250,-0.02439524619132573,0.09411835445831804,-0.036119047131527145,-0.01267144525112431,0.0005735409305252095,-0.2591975426230979,11746.0,0.0017206227915756286
two_cluster,8,individual,total_welfare,primary,250,-0.0004337346607494865,0.005933031576682431,-0.0011727794685054383,0.00030531014700646526,0.811131473726134,-0.07310506528468834,15414.0,0.811131473726134
two_cluster,8,individual,loser_welfare,exploratory,250,0.03484888523612707,0.019098910492379932,0.032469839978949845,0.0372279304933043,5.260400020148572e-42,1.824653047619185,145.0,
two_cluster,8,individual,gap,exploratory,250,-0.029999392951608854,0.03781133886408382,-0.034709341533650205,-0.025289444369567503,4.8531614938114297e-26,-0.793396738989971,3608.0,
two_cluster,8,individual,loser_share,exploratory,250,0.20298000000000002,0.07672330455505282,0.19342300386194872,0.21253699613805133,9.239675450200291e-43,2.6456107590406472,0.0,
two_cluster,8,individual,majority_welfare,exploratory,250,0.023527776869826753,0.09460096502295191,0.01174385981068159,0.03531169392897192,0.0009740597286347916,0.24870546367173407,11913.0,
two_cluster,8,individual,min_utility,exploratory,250,-0.0014530596261373375,0.021514286231224766,-0.004132974830743889,0.001226855578469214,0.0224519643029458,-0.06753929042872168,13075.0,
two_cluster,8,individual,p10_utility,exploratory,250,-0.0005062496455854505,0.01976732038822626,-0.002968555012976711,0.0019560557218058104,0.21166337593528683,-0.025610433566250135,14258.0,
two_cluster,8,individual,gini_utility,exploratory,250,0.0009863178583054237,0.04254118758235536,-0.0043128017219904715,0.006285437438601319,0.36559629558165996,0.023185009971713032,14652.0,
two_cluster,8,individual,supporter_welfare,exploratory,250,0.004849492284518215,0.026016638984822822,0.0016087439910891432,0.008090240577947286,0.0028185489625192637,0.18639964552482108,12269.0,
two_cluster,8,individual,lambda_winner,exploratory,250,-0.0033911565419485587,0.22634696348781333,-0.03158594127466906,0.02480362819077194,0.8176195307497777,-0.014982116347812817,4485.0,
two_cluster,8,score,minority_welfare,primary,250,-0.02804629847083325,0.08582119263733416,-0.03873656802262802,-0.01735602891903848,3.45196790351265e-07,-0.32679921600894274,9854.0,2.0711807421075897e-06
two_cluster,8,score,total_welfare,primary,250,-0.0025340750713360337,0.008808924944053399,-0.0036313539510575625,-0.0014367961916145048,0.0009650061522175584,-0.28767132055617073,11910.0,0.0019300123044351167
two_cluster,8,score,loser_welfare,exploratory,250,0.05299453005827283,0.018413962111695232,0.050700805018556665,0.05528825509798899,9.254424784186016e-43,2.877953681930001,0.0,
two_cluster,8,score,gap,exploratory,250,-0.07969629789475653,0.04528087035982427,-0.08533668454997317,-0.07405591123953989,2.759178921573524e-42,-1.7600434192507828,91.0,
two_cluster,8,score,loser_share,exploratory,250,0.32205,0.08479346807930233,0.3114877483912416,0.3326122516087584,9.233099843473582e-43,3.79805198790555,0.0,
two_cluster,8,score,majority_welfare,exploratory,250,0.022978148328161186,0.08438355619464225,0.012466957167350858,0.033489339488971516,6.1253093420072055e-06,0.2723059961488105,10512.0,
two_cluster,8,score,min_utility,exploratory,250,0.012569070059797073,0.025465840762102676,0.009396931643352703,0.015741208476241445,2.6693059958500246e-13,0.49356587819797804,7321.0,
two_cluster,8,score,p10_utility,exploratory,250,0.016605507424804815,0.025868127955781115,0.013383258325841372,0.019827756523768256,1.0318827593301211e-19,0.6419292286318596,5289.0,
two_cluster,8,score,gini_utility,exploratory,250,-0.041608501658841744,0.05760846225447347,-0.04878446800280988,-0.03443253531487361,1.113375390026976e-22,-0.7222637097141179,4470.0,
two_cluster,8,score,supporter_welfare,exploratory,250,-0.02670176783648369,0.033583057747487634,-0.030885022912083213,-0.022518512760884166,3.732078748402172e-24,-0.7950963857209,4084.0,
two_cluster,8,score,lambda_winner,exploratory,250,-0.006512554747851422,0.2702540346839609,-0.04017659960027424,0.027151490104571394,0.7505110616622759,-0.02409790016814106,9987.0,
two_cluster,8,latent_match,minority_welfare,primary,250,-0.026238617466222736,0.08183277485475943,-0.03643207195555301,-0.016045162976892468,4.868987436642364e-07,-0.32063702486921947,9929.0,2.434493718321182e-06
two_cluster,8,latent_match,total_welfare,primary,250,-0.003397911905665187,0.009112824391142681,-0.004533045852488318,-0.0022627779588420558,4.6373826336707305e-06,-0.3728714347845689,10445.0,1.8549530534682922e-05
two_cluster,8,latent_match,loser_welfare,exploratory,250,0.0544513302433203,0.01849071317388029,0.0521480447498522,0.0567546157367884,9.254424784186016e-43,2.944793406899927,0.0,
two_cluster,8,latent_match,gap,exploratory,250,-0.08591158534096412,0.04390916139379424,-0.09138110582498407,-0.08044206485694416,1.3275682555043177e-42,-1.956575407361484,30.0,
two_cluster,8,latent_match,loser_share,exploratory,250,0.34167000000000003,0.08344421999998336,0.33127581673446677,0.3520641832655333,9.235513141477164e-43,4.094591572670559,0.0,
two_cluster,8,latent_match,majority_welfare,exploratory,250,0.019442793654892362,0.08131453176214797,0.009313893830710877,0.029571693479073846,5.07930524721757e-05,0.2391060150449395,11050.0,
two_cluster,8,latent_match,min_utility,exploratory,250,0.015545175865346568,0.02428482949052549,0.012520149466911788,0.01857020226378135,1.163416424257605e-18,0.640118798092092,5595.0,
two_cluster,8,latent_match,p10_utility,exploratory,250,0.019364273637292918,0.02548171785428407,0.016190157499613243,0.022538389774972592,7.959571027096033e-24,0.7599281079881093,4169.0,
two_cluster,8,latent_match,gini_utility,exploratory,250,-0.04913622190874237,0.056444180740632614,-0.056167160167751036,-0.0421052836497337,1.6103814098291994e-28,-0.870527683527357,3009.0,
two_cluster,8,latent_match,supporter_welfare,exploratory,250,-0.031460255097643816,0.03255433833971508,-0.03551536830729743,-0.027405141887990203,9.770930585639893e-31,-0.9663920909510079,2496.0,
two_cluster,8,latent_match,lambda_winner,exploratory,250,-0.004688689819048234,0.26688530415135914,-0.03793311060969581,0.028555730971599337,0.8839033693867422,-0.017568182834035436,11264.0,
