population,n_voters,n_candidates,paradigm,trial,seed,winner,total_welfare,supporter_welfare,loser_welfare,gap,lambda_winner,lambda_effective,loser_share,alloc_core_services,alloc_coalition_club,alloc_outgroup_repair,alloc_prestige_project,alloc_buffer_reserve
two_cluster,400,8,party,0,0,7,0.22804937764103683,0.29141294104182014,0.1640489945075824,0.12736394653423774,0.6707835973481514,0.6707835973481514,0.4975,0.352999281833684,0.06769071068494406,0.37136282604451615,0.14507888271926184,0.06286829871759406
two_cluster,400,8,individual,0,0,1,0.2339092984747197,0.29529324485035485,0.18567905489386344,0.10961418995649141,0.30322453648177466,0.30322453648177466,0.56,0.2864542403755033,0.4135452108445057,0.12686680267050812,0.100880046981112,0.07225369912837083
two_cluster,400,8,score,0,0,7,0.22835831461071457,0.29757064837569713,0.21185877993609026,0.08571186843960688,0.6707835973481514,0.6707835973481514,0.8075,0.401802923425087,0.06674086999454809,0.33078307517927485,0.14207012819556641,0.058603003205523675
two_cluster,400,8,latent_match,0,0,1,0.2339092984747197,0.29529324485035485,0.18567905489386344,0.10961418995649141,0.30322453648177466,0.30322453648177466,0.56,0.2864542403755033,0.4135452108445057,0.12686680267050812,0.100880046981112,0.07225369912837083
two_cluster,400,8,party,1,0,6,0.23157213462789947,0.3225962406177387,0.1405480286380603,0.18204821197967844,0.7029977294518372,0.7029977294518372,0.5,0.22504708527539477,0.07720407086031944,0.5084342086100062,0.07035771405992282,0.11895692119435688
two_cluster,400,8,individual,1,0,6,0.23136109116694492,0.3259147995612617,0.19856973775073405,0.12734506181052763,0.7029977294518372,0.7029977294518372,0.7425,0.22443780002712976,0.07376554171771162,0.5099571621280319,0.06265355440942036,0.1291859417177064
two_cluster,400,8,score,1,0,4,0.2131576383644277,0.2686224792681961,0.20866048910195997,0.05996199016623613,0.7600433265939112,0.7600433265939112,0.925,0.2087389204109341,0.40194927152268145,0.08684611216776167,0.23694877347358256,0.0655169224250404
two_cluster,400,8,latent_match,1,0,4,0.2131576383644277,0.2686224792681961,0.20866048910195997,0.05996199016623613,0.7600433265939112,0.7600433265939112,0.925,0.2087389204109341,0.40194927152268145,0.08684611216776167,0.23694877347358256,0.0655169224250404
two_cluster,400,8,party,2,0,1,0.23247800292006496,0.324684272605478,0.139345037056909,0.185339235548569,0.7505643240691803,0.7505643240691803,0.4975,0.24051029571132065,0.07086838071408753,0.5040779238281975,0.10530969181300681,0.0792337079333876
two_cluster,400,8,individual,2,0,4,0.23281172314837534,0.31768925213646004,0.1850681130925777,0.13262113904388234,0.6349790075246108,0.6349790075246108,0.64,0.27467189549308607,0.47723421641826363,0.07536162350752974,0.06344449222998806,0.1092877723511326
two_cluster,400,8,score,2,0,3,0.2364748841933558,0.2627183215764765,0.23363972059794944,0.029078600978527075,0.22263171544175084,0.22263171544175084,0.9025,0.257780519140952,0.19100157652770686,0.3956607336957063,0.07326527226538278,0.08229189837025203
two_cluster,400,8,latent_match,2,0,3,0.2364748841933558,0.2627183215764765,0.23363972059794944,0.029078600978527075,0.22263171544175084,0.22263171544175084,0.9025,0.257780519140952,0.19100157652770686,0.3956607336957063,0.07326527226538278,0.08229189837025203
two_cluster,400,8,party,3,0,6,0.23172414509556463,0.29710344453567056,0.16634484565545876,0.1307585988802118,0.4846027236525994,0.4846027236525994,0.5,0.3179962667572885,0.0908479933940718,0.40435128044944707,0.09105835181466732,0.0957461075845255
two_cluster,400,8,individual,3,0,5,0.23619618442879292,0.31249055500139533,0.20231817872326913,0.1101723762781262,0.661972505958583,0.661972505958583,0.6925,0.345719014054879,0.42888415289827114,0.07527398195806356,0.08908119418277215,0.061041656906014215
two_cluster,400,8,score,3,0,4,0.2410034835607127,0.25973285755497394,0.23880618270105078,0.02092667485392316,0.6609097445928996,0.6609097445928996,0.895,0.3383943646415322,0.3195402153887161,0.21996594682208293,0.047965293091785134,0.07413418005588371
two_cluster,400,8,latent_match,3,0,4,0.2410034835607127,0.25973285755497394,0.23880618270105078,0.02092667485392316,0.6609097445928996,0.6609097445928996,0.895,0.3383943646415322,0.3195402153887161,0.21996594682208293,0.047965293091785134,0.07413418005588371
two_cluster,400,8,party,4,0,1,0.23266267822595987,0.33322432667813645,0.1321010297737833,0.20112329690435315,0.7716991367818821,0.7716991367818821,0.5,0.2614643905199567,0.046468499716652116,0.5054014445158258,0.13222990664676393,0.05443575860080169
two_cluster,400,8,individual,4,0,0,0.22242354259655564,0.3125494578652371,0.19034482699244865,0.12220463087278843,0.6216944360586977,0.6216944360586977,0.7375,0.2408633461611557,0.4475283575530724,0.06746612713099352,0.052019902956635326,0.19212226619814324
two_cluster,400,8,score,4,0,3,0.2395663106500287,0.2453403419805033,0.2388526663282847,0.006487675652218611,0.5578639902642795,0.5578639902642795,0.89,0.338554833954258,0.27318213717323486,0.26366582662690463,0.0662674087111399,0.05832979353446249
two_cluster,400,8,latent_match,4,0,3,0.2395663106500287,0.2453403419805033,0.2388526663282847,0.006487675652218611,0.5578639902642795,0.5578639902642795,0.89,0.338554833954258,0.27318213717323486,0.26366582662690463,0.0662674087111399,0.05832979353446249
two_cluster,400,8,party,5,0,7,0.23139183723892018,0.2795969954469978,0.1827022050790026,0.0968947903679952,0.3564789037455744,0.3564789037455744,0.4975,0.3038592806288285,0.3730199146708398,0.13824718518928955,0.10737508697372569,0.07749853253731663
two_cluster,400,8,individual,5,0,2,0.21755301024029122,0.2921880612164363,0.19525942358507908,0.09692863763135723,0.6326567587964674,0.6326567587964674,0.77,0.2393266810249139,0.07101995923140125,0.41488439783724795,0.11519268051154781,0.1595762813948889
two_cluster,400,8,score,5,0,7,0.23062477072411147,0.25202596933388144,0.2274268904720769,0.02459907886180454,0.3564789037455744,0.3564789037455744,0.87,0.3151338893995646,0.3415521920960696,0.15465436569944102,0.11724872410006082,0.07141082870486408
two_cluster,400,8,latent_match,5,0,7,0.23062477072411147,0.25202596933388144,0.2274268904720769,0.02459907886180454,0.3564789037455744,0.3564789037455744,0.87,0.3151338893995646,0.3415521920960696,0.15465436569944102,0.11724872410006082,0.07141082870486408
two_cluster,400,8,party,6,0,6,0.23582194263955164,0.3082693238725939,0.16337456140650936,0.14489476246608457,0.28850409054467496,0.28850409054467496,0.5,0.24182366207824293,0.12567687369413705,0.4522672597320765,0.11660794357794911,0.06362426091759443
two_cluster,400,8,individual,6,0,6,0.235883536784387,0.3224923077549944,0.21037739387718546,0.11211491387780892,0.28850409054467496,0.28850409054467496,0.7725,0.2395749730671754,0.12109209115231902,0.4591938304235664,0.11572837990120283,0.06441072545573624
two_cluster,400,8,score,6,0,1,0.2423970471928815,0.29604877410384894,0.2359347943716725,0.06011397973217644,0.42491806479531163,0.42491806479531163,0.8925,0.40882536690525556,0.13151721999907265,0.33540443803745446,0.051744879284999615,0.07250809577321769
two_cluster,400,8,latent_match,6,0,1,0.2423970471928815,0.29604877410384894,0.2359347943716725,0.06011397973217644,0.42491806479531163,0.42491806479531163,0.8925,0.40882536690525556,0.13151721999907265,0.33540443803745446,0.051744879284999615,0.07250809577321769
two_cluster,400,8,party,7,0,5,0.23137790199907543,0.29949469153960817,0.16257652160888908,0.1369181699307191,0.5916988052102605,0.5916988052102605,0.4975,0.26732845572673336,0.11686930341220925,0.44051095108874777,0.08497668651698582,0.09031460325532376
two_cluster,400,8,individual,7,0,4,0.2469188741119551,0.3622210449194814,0.1998236212469092,0.16239742367257223,0.8655403193977622,0.8655403193977622,0.71,0.2833915689267907,0.547201297430813,0.05159410972953704,0.04328598027660183,0.07452704363625744
two_cluster,400,8,score,7,0,4,0.2469188741119551,0.3622210449194814,0.1998236212469092,0.16239742367257223,0.8655403193977622,0.8655403193977622,0.71,0.2833915689267907,0.547201297430813,0.05159410972953704,0.04328598027660183,0.07452704363625744
